ClusterNo,P-Value,term
15,0.018094869,regulation of anatomical structure morphogenesis [GO:0022603]
15,0.025462065,cytoskeleton organization [GO:0007010]
16,1,mitochondrion inheritance [GO:0000001]
16,1,mitochondrial genome maintenance [GO:0000002]
16,1,reproduction [GO:0000003]
17,0.006203955,stabilization of membrane potential [GO:0030322]
17,0.006203955,pigment accumulation [GO:0043476]
17,0.006203955,cellular pigment accumulation [GO:0043482]
18,0.006710091,leukocyte migration involved in inflammatory response [GO:0002523]
18,0.006710091,activation of JNKK activity [GO:0007256]
18,0.006710091,purine nucleotide transport [GO:0015865]
19,0.00040114,long-chain fatty acid metabolic process [GO:0001676]
19,0.001686322,positive regulation of angiogenesis [GO:0045766]
19,0.002644411,multicellular organismal homeostasis [GO:0048871]
20,0.003872462,positive regulation of Rab GTPase activity [GO:0032851]
20,0.004645453,regulation of Rab GTPase activity [GO:0032313]
20,0.004645453,Rab protein signal transduction [GO:0032482]
21,0.003618974,ER to Golgi ceramide transport [GO:0035621]
21,0.003618974,ceramide transport [GO:0035627]
21,0.003618974,positive regulation of macrophage cytokine production [GO:0060907]
22,0.00034801,protein ADP-ribosylation [GO:0006471]
22,0.000767599,oxidation-reduction process [GO:0055114]
22,0.001099459,energy derivation by oxidation of organic compounds [GO:0015980]
23,0.003077812,positive regulation of catalytic activity [GO:0043085]
23,0.006220095,positive regulation of molecular function [GO:0044093]
23,0.006371604,response to ionizing radiation [GO:0010212]
24,0.000404276,cell fate specification [GO:0001708]
24,0.001118006,developmental induction [GO:0031128]
24,0.001118006,cell-cell signaling involved in cell fate commitment [GO:0045168]
25,0.001550989,natural killer cell apoptotic process [GO:0070246]
25,0.001550989,regulation of natural killer cell apoptotic process [GO:0070247]
25,0.009272909,lymphocyte apoptotic process [GO:0070227]
26,0.000258498,positive regulation of mitochondrial depolarization [GO:0051901]
26,0.000516963,mitochondrial depolarization [GO:0051882]
26,0.000516963,regulation of mitochondrial depolarization [GO:0051900]
27,0.005169963,negative regulation of cellular extravasation [GO:0002692]
27,0.005169963,negative regulation of integrin activation [GO:0033624]
27,0.005169963,coumarin catabolic process [GO:0046226]
28,1,mitochondrion inheritance [GO:0000001]
28,1,mitochondrial genome maintenance [GO:0000002]
28,1,reproduction [GO:0000003]
29,0.005937003,regulation of autophagic vacuole assembly [GO:2000785]
29,0.008892846,peptidyl-lysine dimethylation [GO:0018027]
29,0.008892846,regulation of vacuole organization [GO:0044088]
30,0.000547266,centrosome duplication [GO:0051298]
30,0.00070163,centrosome cycle [GO:0007098]
30,0.001503015,spindle assembly [GO:0051225]
31,0.001711894,nervous system development [GO:0007399]
31,0.00413597,regulation of ruffle assembly [GO:1900027]
31,0.00413597,positive regulation of ruffle assembly [GO:1900029]
32,1,mitochondrion inheritance [GO:0000001]
32,1,mitochondrial genome maintenance [GO:0000002]
32,1,reproduction [GO:0000003]
33,0.000294851,response to sterol [GO:0036314]
33,0.000294851,response to cholesterol [GO:0070723]
33,0.004523717,NK T cell differentiation [GO:0001865]
34,0.002326483,regulation of protein serine/threonine phosphatase activity [GO:0080163]
34,0.0092753,negative regulation of phosphoprotein phosphatase activity [GO:0032515]
34,0.013882423,L-ascorbic acid metabolic process [GO:0019852]
35,0.000387747,cobalamin metabolic process [GO:0009235]
35,0.001809487,tetrapyrrole metabolic process [GO:0033013]
35,0.003231227,water-soluble vitamin metabolic process [GO:0006767]
36,7.38E-05,cilium assembly [GO:0042384]
36,0.00022351,cilium morphogenesis [GO:0060271]
36,0.000242689,cellular component assembly involved in morphogenesis [GO:0010927]
37,0.000428582,regulation of focal adhesion assembly [GO:0051893]
37,0.000428582,negative regulation of protein kinase B signaling cascade [GO:0051898]
37,0.000428582,regulation of cell-substrate junction assembly [GO:0090109]
38,1,mitochondrion inheritance [GO:0000001]
38,1,mitochondrial genome maintenance [GO:0000002]
38,1,reproduction [GO:0000003]
39,0.002455732,Golgi to plasma membrane CFTR protein transport [GO:0043000]
39,0.00490575,histone H4 deacetylation [GO:0070933]
39,0.014648935,ruffle organization [GO:0031529]
40,0.001808785,glycogen catabolic process [GO:0005980]
40,0.002067049,polysaccharide catabolic process [GO:0000272]
40,0.002067049,glucan catabolic process [GO:0009251]
41,0.000312088,cranial nerve development [GO:0021545]
41,0.000435644,nerve development [GO:0021675]
41,0.000435644,axon extension involved in axon guidance [GO:0048846]
42,1,mitochondrion inheritance [GO:0000001]
42,1,mitochondrial genome maintenance [GO:0000002]
42,1,reproduction [GO:0000003]
43,0.003748223,tRNA wobble base modification [GO:0002097]
43,0.003748223,tRNA wobble uridine modification [GO:0002098]
43,0.003748223,dopamine secretion [GO:0014046]
44,0.001292156,rRNA catabolic process [GO:0016075]
44,0.002067049,ncRNA catabolic process [GO:0034661]
44,0.006710091,rRNA metabolic process [GO:0016072]
45,0.000412752,visual perception [GO:0007601]
45,0.000412752,sensory perception of light stimulus [GO:0050953]
45,0.000565806,photoreceptor cell maintenance [GO:0045494]
46,0.004006721,"heparan sulfate proteoglycan biosynthetic process, enzymatic modification [GO:0015015]"
46,0.007997904,regulation of translational termination [GO:0006449]
46,0.007997904,regulation of protein ADP-ribosylation [GO:0010835]
47,0.002776662,microtubule-based process [GO:0007017]
47,0.002843479,peptidyl-serine autophosphorylation [GO:0036289]
47,0.00567924,proteasome assembly [GO:0043248]
48,0.004652966,positive regulation of transcription of Notch receptor target [GO:0007221]
48,0.004652966,segment specification [GO:0007379]
48,0.004652966,maintenance of DNA methylation [GO:0010216]
49,0.006979449,9-cis-retinoic acid biosynthetic process [GO:0042904]
49,0.006979449,9-cis-retinoic acid metabolic process [GO:0042905]
49,0.006979449,extracellular fibril organization [GO:0043206]
50,0.001682831,nitric oxide biosynthetic process [GO:0006809]
50,0.002754301,nitric oxide metabolic process [GO:0046209]
50,0.005686959,starch metabolic process [GO:0005982]
51,0.007225317,chromatin remodeling [GO:0006338]
51,0.007482879,ATP catabolic process [GO:0006200]
51,0.010571023,ATP metabolic process [GO:0046034]
52,0.006074706,negative regulation of transcription by transcription factor localization [GO:0010621]
52,0.006074706,cytochrome complex assembly [GO:0017004]
52,0.006074706,respiratory chain complex III assembly [GO:0017062]
53,1,mitochondrion inheritance [GO:0000001]
53,1,mitochondrial genome maintenance [GO:0000002]
53,1,reproduction [GO:0000003]
54,0.000822969,positive regulation of lipid metabolic process [GO:0045834]
54,0.002067985,progesterone biosynthetic process [GO:0006701]
54,0.002067985,mevalonate transport [GO:0015728]
55,0.000904743,regulation of transcription by galactose [GO:0000409]
55,0.000904743,positive regulation of transcription by galactose [GO:0000411]
55,0.000904743,regulation of transcription from RNA polymerase II promoter by galactose [GO:0000431]
56,0.000646245,"mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]"
56,0.000646245,heme a biosynthetic process [GO:0006784]
56,0.000646245,heme a metabolic process [GO:0046160]
57,1,mitochondrion inheritance [GO:0000001]
57,1,mitochondrial genome maintenance [GO:0000002]
57,1,reproduction [GO:0000003]
58,0.001031153,feeding behavior [GO:0007631]
58,0.004650942,positive regulation of behavior [GO:0048520]
58,0.004911464,urinary bladder smooth muscle contraction [GO:0014832]
59,0.002059637,cellular response to retinoic acid [GO:0071300]
59,0.002692661,regulation of cell adhesion [GO:0030155]
59,0.00275405,mesoderm development [GO:0007498]
60,0.000835571,regulation of peptide secretion [GO:0002791]
60,0.000835571,regulation of insulin secretion [GO:0050796]
60,0.000835571,regulation of peptide transport [GO:0090087]
61,0.003618974,mitotic metaphase [GO:0000089]
61,0.003618974,negative regulation of myelination [GO:0031642]
61,0.003618974,negative regulation of axon regeneration [GO:0048681]
62,0.003101978,selenocysteine incorporation [GO:0001514]
62,0.003101978,translational readthrough [GO:0006451]
62,0.003101978,keratinization [GO:0031424]
63,0.002583478,"establishment of mitochondrion localization, microtubule-mediated [GO:0034643]"
63,0.002583478,mitochondrion transport along microtubule [GO:0047497]
63,0.002583478,establishment of mitochondrion localization [GO:0051654]
64,0.00583569,protein folding [GO:0006457]
64,0.008788936,MHC protein complex assembly [GO:0002396]
64,0.008788936,MHC class I protein complex assembly [GO:0002397]
65,0.051286483,proteolysis [GO:0006508]
65,0.254806942,protein metabolic process [GO:0019538]
65,0.406623166,macromolecule metabolic process [GO:0043170]
66,5.26E-05,protein-DNA complex subunit organization [GO:0071824]
66,0.000380436,nucleosome organization [GO:0034728]
66,0.00056032,chromatin assembly or disassembly [GO:0006333]
67,0.002263818,multi-organism transport [GO:0044766]
67,0.00555771,neuroblast division in subventricular zone [GO:0021849]
67,0.00555771,poly-N-acetyllactosamine metabolic process [GO:0030309]
68,0.002972728,glucosylceramide biosynthetic process [GO:0006679]
68,0.002972728,regulation of Schwann cell proliferation [GO:0010624]
68,0.002972728,negative regulation of Schwann cell proliferation [GO:0010626]
69,0.000258498,estrogen biosynthetic process [GO:0006703]
69,0.000646245,estrogen metabolic process [GO:0008210]
69,0.00142174,hormone biosynthetic process [GO:0042446]
70,0.001550989,regulation of DNA methylation [GO:0044030]
70,0.001550989,protection of DNA demethylation of female pronucleus [GO:0044726]
70,0.001550989,genetic imprinting [GO:0071514]
71,0.005131503,organic anion transport [GO:0015711]
71,0.006074706,trophectodermal cell differentiation [GO:0001829]
71,0.006074706,glycerol biosynthetic process [GO:0006114]
72,0.000387747,negative regulation of nervous system development [GO:0051961]
72,0.000387747,negative regulation of synapse assembly [GO:0051964]
72,0.000775394,motor neuron axon guidance [GO:0008045]
73,0.003489725,regulation of muscle filament sliding [GO:0032971]
73,0.006500367,antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]
73,0.006867997,antigen processing and presentation of peptide antigen via MHC class II [GO:0002495]
74,0.001163242,corticotropin-releasing hormone secretion [GO:0043396]
74,0.001163242,regulation of corticotropin-releasing hormone secretion [GO:0043397]
74,0.001163242,positive regulation of corticotropin-releasing hormone secretion [GO:0051466]
75,0.003748223,dynamin polymerization involved in membrane fission [GO:0003373]
75,0.003748223,dynamin polymerization involved in mitochondrial fission [GO:0003374]
75,0.003748223,purine nucleobase catabolic process [GO:0006145]
76,0.000129249,beta-amyloid clearance [GO:0097242]
76,0.000129249,regulation of platelet-derived growth factor receptor-beta signaling pathway [GO:2000586]
76,0.000129249,negative regulation of platelet-derived growth factor receptor-beta signaling pathway [GO:2000587]
77,0.005040713,detection of oxygen [GO:0003032]
77,0.005040713,nuclear migration [GO:0007097]
77,0.005040713,transmembrane receptor protein tyrosine phosphatase signaling pathway [GO:0007185]
78,0.000905874,homophilic cell adhesion [GO:0007156]
78,0.000905874,heterophilic cell-cell adhesion [GO:0007157]
78,0.004110237,sensory organ development [GO:0007423]
79,0.002712126,positive regulation of microtubule polymerization or depolymerization [GO:0031112]
79,0.002712126,positive regulation of microtubule polymerization [GO:0031116]
79,0.004516705,regulation of microtubule polymerization [GO:0031113]
80,0.003099772,nucleotide-binding oligomerization domain containing signaling pathway [GO:0070423]
80,0.00413196,cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]
80,0.00490575,"nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO:0035872]"
81,1,mitochondrion inheritance [GO:0000001]
81,1,mitochondrial genome maintenance [GO:0000002]
81,1,reproduction [GO:0000003]
82,0.000123127,protein K63-linked ubiquitination [GO:0070534]
82,0.00071766,protein polyubiquitination [GO:0000209]
82,0.001607586,histone H2A ubiquitination [GO:0033522]
83,0.224393974,blood coagulation [GO:0007596]
83,0.224393974,hemostasis [GO:0007599]
83,0.224393974,coagulation [GO:0050817]
84,0.003489725,acrosome assembly [GO:0001675]
84,0.003489725,corpus callosum morphogenesis [GO:0021540]
84,0.003489725,corpus callosum development [GO:0022038]
85,0.004006721,detection of chemical stimulus involved in sensory perception of sweet taste [GO:0001582]
85,0.004006721,alpha-ketoglutarate transport [GO:0015742]
85,0.004006721,vestibular receptor cell differentiation [GO:0060114]
86,0.000904743,mitotic sister chromatid separation [GO:0051306]
86,0.000904743,self proteolysis [GO:0097264]
86,0.003614765,chromosome separation [GO:0051304]
87,0.004652966,immunoglobulin biosynthetic process [GO:0002378]
87,0.004652966,branched-chain amino acid transport [GO:0015803]
87,0.004652966,leucine transport [GO:0015820]
88,0.001073842,cellular response to drug [GO:0035690]
88,0.001435958,cellular cation homeostasis [GO:0030003]
88,0.001651747,cation homeostasis [GO:0055080]
89,0.003231227,leukocyte tethering or rolling [GO:0050901]
89,0.006452429,ectoderm development [GO:0007398]
89,0.009663636,cholesterol catabolic process [GO:0006707]
90,0.010313861,extracellular matrix organization [GO:0030198]
90,0.010313861,extracellular structure organization [GO:0043062]
90,0.264593716,cellular component organization [GO:0016043]
91,0.000605359,transmembrane transport [GO:0055085]
91,0.0013889,ion transport [GO:0006811]
91,0.002075928,positive regulation of cytokine biosynthetic process [GO:0042108]
92,0.00262264,detection of abiotic stimulus [GO:0009582]
92,0.0037843,detection of external stimulus [GO:0009581]
92,0.0037843,negative regulation of neurogenesis [GO:0050768]
93,0.001163242,female gamete generation [GO:0007292]
93,0.003618974,activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]
93,0.004006721,activation of cysteine-type endopeptidase activity [GO:0097202]
94,1,mitochondrion inheritance [GO:0000001]
94,1,mitochondrial genome maintenance [GO:0000002]
94,1,reproduction [GO:0000003]
95,0.006074706,positive regulation of T-helper 1 type immune response [GO:0002827]
95,0.006074706,response to manganese ion [GO:0010042]
95,0.006074706,positive regulation of cell fate commitment [GO:0010455]
96,0.004006721,glycoprotein catabolic process [GO:0006516]
96,0.004006721,diphosphate metabolic process [GO:0071344]
96,0.007997904,adult heart development [GO:0007512]
97,0.00080865,glycogen catabolic process [GO:0005980]
97,0.001073842,polysaccharide catabolic process [GO:0000272]
97,0.001073842,glucan catabolic process [GO:0009251]
98,1,mitochondrion inheritance [GO:0000001]
98,1,mitochondrial genome maintenance [GO:0000002]
98,1,reproduction [GO:0000003]
99,0.000258498,negative regulation of protein phosphatase type 2A activity [GO:0034048]
99,0.000258498,regulation of chromatin binding [GO:0035561]
99,0.000258498,negative regulation of chromatin binding [GO:0035562]
100,1,mitochondrion inheritance [GO:0000001]
100,1,mitochondrial genome maintenance [GO:0000002]
100,1,reproduction [GO:0000003]
101,1,mitochondrion inheritance [GO:0000001]
101,1,mitochondrial genome maintenance [GO:0000002]
101,1,reproduction [GO:0000003]
102,0.001550989,apoptotic process involved in morphogenesis [GO:0060561]
102,0.003099772,developmental programmed cell death [GO:0010623]
102,0.003099772,protein localization to adherens junction [GO:0071896]
103,0.003101978,protein targeting to Golgi [GO:0000042]
103,0.003101978,"retrograde transport, vesicle recycling within Golgi [GO:0000301]"
103,0.003101978,immunoglobulin production in mucosal tissue [GO:0002426]
104,0.003618974,cysteine catabolic process [GO:0009093]
104,0.003618974,L-cysteine catabolic process [GO:0019448]
104,0.003618974,homocysteine catabolic process [GO:0043418]
105,0.004645753,heme transport [GO:0015886]
105,0.006961427,iron coordination entity transport [GO:1901678]
105,0.008117467,anterograde synaptic vesicle transport [GO:0048490]
106,2.24E-05,phosphorylation [GO:0016310]
106,0.000123916,cellular protein modification process [GO:0006464]
106,0.000123916,protein modification process [GO:0036211]
107,0.006705328,sulfation [GO:0051923]
107,0.008375162,estrogen metabolic process [GO:0008210]
107,0.008375162,purine ribonucleoside bisphosphate metabolic process [GO:0034035]
108,0.002789928,axis specification [GO:0009798]
108,0.003618974,luteinizing hormone secretion [GO:0032275]
108,0.003618974,toll-like receptor 7 signaling pathway [GO:0034154]
109,0.000388206,cellular protein complex disassembly [GO:0043624]
109,0.000404276,protein complex disassembly [GO:0043241]
109,0.000489446,translational initiation [GO:0006413]
110,0.000775494,peripheral nervous system myelin formation [GO:0032290]
110,0.001550488,detection of chemical stimulus involved in sensory perception of sour taste [GO:0001581]
110,0.001550488,positive regulation of myelination [GO:0031643]
111,0.000129249,mitotic cell cycle DNA replication checkpoint [GO:0033314]
111,0.000516996,DNA replication checkpoint [GO:0000076]
111,0.000775494,negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]
112,0.002582977,pantothenate metabolic process [GO:0015939]
112,0.005160947,hippo signaling cascade [GO:0035329]
112,0.0092753,coenzyme biosynthetic process [GO:0009108]
113,0.000704489,positive regulation of lipid storage [GO:0010884]
113,0.000704489,heparan sulfate proteoglycan biosynthetic process [GO:0015012]
113,0.000704489,heparan sulfate proteoglycan metabolic process [GO:0030201]
114,1,mitochondrion inheritance [GO:0000001]
114,1,mitochondrial genome maintenance [GO:0000002]
114,1,reproduction [GO:0000003]
115,0.001033993,histone mRNA 3'-end processing [GO:0006398]
115,0.004130359,snRNA processing [GO:0016180]
115,0.005160614,snRNA metabolic process [GO:0016073]
116,0.000775394,cytokinesis after mitosis [GO:0000281]
116,0.003099772,cell cycle cytokinesis [GO:0033205]
116,0.009027553,cytokinesis [GO:0000910]
117,0.004265219,alanine metabolic process [GO:0006522]
117,0.004265219,alanine catabolic process [GO:0006524]
117,0.004265219,proline catabolic process [GO:0006562]
118,0.0022558,regulation of transcription from RNA polymerase III promoter [GO:0006359]
118,0.006092996,protein autoubiquitination [GO:0051865]
118,0.006591702,cytolysis by symbiont of host cells [GO:0001897]
119,0.000425637,regulation of Rab GTPase activity [GO:0032313]
119,0.000425637,Rab protein signal transduction [GO:0032482]
119,0.000425637,regulation of Rab protein signal transduction [GO:0032483]
120,1,mitochondrion inheritance [GO:0000001]
120,1,mitochondrial genome maintenance [GO:0000002]
120,1,reproduction [GO:0000003]
121,0.001199983,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway [GO:0090092]
121,0.004523717,endodermal cell fate specification [GO:0001714]
121,0.004523717,regulation of Wnt receptor signaling pathway involved in heart development [GO:0003307]
122,0.00555771,transcription initiation from RNA polymerase I promoter for nuclear large rRNA transcript [GO:0001180]
122,0.00555771,RNA polymerase I transcriptional preinitiation complex assembly [GO:0001188]
122,0.00555771,RNA polymerase I transcriptional preinitiation complex assembly at the promoter for the nuclear large rRNA transcript [GO:0001189]
123,0.000743968,cell adhesion mediated by integrin [GO:0033627]
123,0.006074706,regulation of embryonic cell shape [GO:0016476]
123,0.006074706,brain-derived neurotrophic factor receptor signaling pathway [GO:0031547]
124,0.006697091,regulation of canonical Wnt receptor signaling pathway [GO:0060828]
124,0.009952178,G2 phase of mitotic cell cycle [GO:0000085]
124,0.009952178,re-entry into mitotic cell cycle [GO:0000320]
125,0.005040713,single strand break repair [GO:0000012]
125,0.005040713,transcription from mitochondrial promoter [GO:0006390]
125,0.005040713,transcription initiation from mitochondrial promoter [GO:0006391]
126,1.10E-05,stem cell maintenance [GO:0019827]
126,1.10E-05,stem cell development [GO:0048864]
126,3.06E-05,stem cell differentiation [GO:0048863]
127,0.005040713,magnesium ion homeostasis [GO:0010960]
127,0.005040713,oxidation-dependent protein catabolic process [GO:0070407]
127,0.005040713,zymogen granule exocytosis [GO:0070625]
128,0.00091283,cellular protein metabolic process [GO:0044267]
128,0.003137823,protein metabolic process [GO:0019538]
128,0.00326904,post-translational protein modification [GO:0043687]
129,1,mitochondrion inheritance [GO:0000001]
129,1,mitochondrial genome maintenance [GO:0000002]
129,1,reproduction [GO:0000003]
130,0.003614765,positive regulation of epithelial to mesenchymal transition [GO:0010718]
130,0.004645753,positive regulation of cell morphogenesis involved in differentiation [GO:0010770]
130,0.006190734,regulation of epithelial to mesenchymal transition [GO:0010717]
131,0.066055436,regulation of protein localization [GO:0032880]
131,0.198585852,regulation of localization [GO:0032879]
131,0.201289676,protein localization [GO:0008104]
132,0.000904743,taurine biosynthetic process [GO:0042412]
132,0.002712126,cysteine metabolic process [GO:0006534]
132,0.002712126,taurine metabolic process [GO:0019530]
133,1,mitochondrion inheritance [GO:0000001]
133,1,mitochondrial genome maintenance [GO:0000002]
133,1,reproduction [GO:0000003]
134,0.006074706,phenylalanyl-tRNA aminoacylation [GO:0006432]
134,0.006074706,snRNA modification [GO:0040031]
134,0.006074706,retinol metabolic process [GO:0042572]
135,0.003614765,melanosome organization [GO:0032438]
135,0.003614765,pigment granule organization [GO:0048753]
135,0.004516705,protein destabilization [GO:0031648]
136,8.64E-05,multicellular organism reproduction [GO:0032504]
136,8.64E-05,multicellular organismal reproductive process [GO:0048609]
136,0.000873517,spermatogenesis [GO:0007283]
137,0.036933864,apoptotic signaling pathway [GO:0097190]
137,0.036933864,regulation of execution phase of apoptosis [GO:1900117]
137,0.050034063,execution phase of apoptosis [GO:0097194]
138,1,mitochondrion inheritance [GO:0000001]
138,1,mitochondrial genome maintenance [GO:0000002]
138,1,reproduction [GO:0000003]
139,0.004523717,B cell cytokine production [GO:0002368]
139,0.004523717,T cell mediated immune response to tumor cell [GO:0002424]
139,0.004523717,regulation of T cell mediated immune response to tumor cell [GO:0002840]
140,0.002584981,protein hydroxylation [GO:0018126]
140,0.002584981,peptidyl-aspartic acid modification [GO:0018197]
140,0.002584981,peptidyl-histidine hydroxylation [GO:0036138]
141,0.004006721,somite rostral/caudal axis specification [GO:0032525]
141,0.007997904,mitochondrion degradation [GO:0000422]
141,0.007997904,meiotic prophase I [GO:0007128]
142,0.000646245,positive regulation of protein glycosylation [GO:0060050]
142,0.000646245,regulation of protein exit from endoplasmic reticulum [GO:0070861]
142,0.000646245,positive regulation of protein exit from endoplasmic reticulum [GO:0070863]
143,1,mitochondrion inheritance [GO:0000001]
143,1,mitochondrial genome maintenance [GO:0000002]
143,1,reproduction [GO:0000003]
144,0.003618974,nicotinamide riboside catabolic process [GO:0006738]
144,0.003618974,calcium-mediated signaling using intracellular calcium source [GO:0035584]
144,0.003618974,nicotinamide riboside metabolic process [GO:0046495]
145,2.23E-05,isocitrate metabolic process [GO:0006102]
145,0.000329807,tricarboxylic acid metabolic process [GO:0072350]
145,0.000977556,pyridine nucleotide metabolic process [GO:0019362]
146,1,mitochondrion inheritance [GO:0000001]
146,1,mitochondrial genome maintenance [GO:0000002]
146,1,reproduction [GO:0000003]
147,1.16E-05,regulation of mitochondrion organization [GO:0010821]
147,9.28E-05,positive regulation of mitochondrion organization [GO:0010822]
147,0.001211331,positive regulation of release of cytochrome c from mitochondria [GO:0090200]
148,0.003239435,mitotic prometaphase [GO:0000236]
148,0.007350067,post-chaperonin tubulin folding pathway [GO:0007023]
148,0.009788695,tubulin complex biogenesis [GO:0072668]
149,1,mitochondrion inheritance [GO:0000001]
149,1,mitochondrial genome maintenance [GO:0000002]
149,1,reproduction [GO:0000003]
150,1,mitochondrion inheritance [GO:0000001]
150,1,mitochondrial genome maintenance [GO:0000002]
150,1,reproduction [GO:0000003]
151,0.000685359,response to alkaloid [GO:0043279]
151,0.001179087,regulation of fat cell differentiation [GO:0045598]
151,0.001472239,regulation of cell growth [GO:0001558]
152,0.00555771,positive regulation of vascular wound healing [GO:0035470]
152,0.00555771,positive regulation of vascular permeability [GO:0043117]
152,0.00555771,angiogenesis involved in wound healing [GO:0060055]
153,0.000258498,dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]
153,0.000775494,mRNA polyadenylation [GO:0006378]
153,0.000904743,RNA polyadenylation [GO:0043631]
154,0.002067985,cellular membrane fusion [GO:0006944]
154,0.002455732,membrane fusion [GO:0061025]
154,0.016156133,cellular membrane organization [GO:0016044]
155,0.048730664,translational initiation [GO:0006413]
155,0.084559004,actin cytoskeleton organization [GO:0030036]
155,0.087073293,GTP catabolic process [GO:0006184]
156,3.46E-05,UDP-N-acetylgalactosamine metabolic process [GO:0019276]
156,0.00094656,nucleotide-sugar metabolic process [GO:0009225]
156,0.001838297,amino sugar metabolic process [GO:0006040]
157,0.000789061,phagosome maturation [GO:0090382]
157,0.002307853,regulation of transcription from RNA polymerase II promoter [GO:0006357]
157,0.004639938,regulation of DNA repair [GO:0006282]
158,0.166547047,axonogenesis [GO:0007409]
158,0.1808997,cell morphogenesis involved in neuron differentiation [GO:0048667]
158,0.18563375,neuron projection morphogenesis [GO:0048812]
159,0.00334861,cellular response to tumor necrosis factor [GO:0071356]
159,0.003489725,T-helper 1 cell differentiation [GO:0045063]
159,0.003489725,regulation of T-helper 1 cell differentiation [GO:0045625]
160,1,mitochondrion inheritance [GO:0000001]
160,1,mitochondrial genome maintenance [GO:0000002]
160,1,reproduction [GO:0000003]
161,1,mitochondrion inheritance [GO:0000001]
161,1,mitochondrial genome maintenance [GO:0000002]
161,1,reproduction [GO:0000003]
162,1,mitochondrion inheritance [GO:0000001]
162,1,mitochondrial genome maintenance [GO:0000002]
162,1,reproduction [GO:0000003]
163,0.003873963,regulation of skeletal muscle adaptation [GO:0014733]
163,0.003873963,regulation of synapse structural plasticity [GO:0051823]
163,0.005805688,regulation of long-term neuronal synaptic plasticity [GO:0048169]
164,0.00023387,melanosome organization [GO:0032438]
164,0.00023387,pigment granule organization [GO:0048753]
164,0.001838141,regulation of biological process [GO:0050789]
165,0.03941505,purine nucleoside metabolic process [GO:0042278]
165,0.044475745,nucleoside metabolic process [GO:0009116]
165,0.045738831,glycosyl compound metabolic process [GO:1901657]
166,0.11152756,lipid metabolic process [GO:0006629]
166,0.306955216,single-organism metabolic process [GO:0044710]
166,0.632933538,primary metabolic process [GO:0044238]
167,0.01466403,receptor guanylyl cyclase signaling pathway [GO:0007168]
