"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"ribosomal small subunit export from nucleus [GO:0000056]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein import into nucleus, docking [GO:0000059]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein import into nucleus, translocation [GO:0000060]",0.236596645093163,1,1,0.566235598544735,1,1,1,1,1,1,1,1,1,1,1,0.0318647229703231,1,1,1,1
"protein import into nucleus, substrate release [GO:0000061]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial ornithine transport [GO:0000066]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DNA replication and chromosome cycle [GO:0000067]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic sister chromatid segregation [GO:0000070]",0.141431062142622,0.23144623310878,1,1,0.0528459607261364,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M phase specific microtubule process [GO:0000072]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spindle pole body separation [GO:0000073]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell cycle checkpoint [GO:0000075]",0.744560658604839,1,0.257431081990825,0.439696644916161,0.771582123699431,0.441710394294579,0.5944953685883,1,1,0.767277852151772,0.150284402635972,1,0.505170248878611,1,0.404307064627507,0.236667896214212,0.456084724307079,0.292372319997595,1,1
"DNA replication checkpoint [GO:0000076]",0.739158310829177,1,1,0.15317251124249,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DNA damage checkpoint [GO:0000077]",0.745131988549427,1,0.302279818832478,0.476532477589111,0.845530049286863,0.453883833113034,0.717110759365164,1,1,0.598091913879843,0.204993445233408,1,0.656857066584765,1,0.423884707973056,1,0.249714413800067,0.194451122476155,1,1
"cell shape checkpoint [GO:0000078]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cyclin-dependent protein kinase activity [GO:0000079]",0.426774543773576,0.409609821121701,0.451711064383933,0.775181491977998,0.836678678678503,0.566246856119364,1,0.0460734972712233,1,1,0.366737380305316,1,1,1,0.54468495975193,1,0.407424924874201,1,1,1
"G1 phase of mitotic cell cycle [GO:0000080]",0.398286473778332,1,0.402479998266823,0.838088861550646,1,0.511182306420232,1,1,1,1,0.32395834407901,1,0.0844420149318679,0.0573856640384697,1,1,1,1,1,0.0485394971650256
"G1/S transition of mitotic cell cycle [GO:0000082]",0.443653147080214,1,0.240324786568567,0.809546635921746,0.566893956499987,0.685928773515338,1,1,1,0.754617546917527,0.371869595903026,1,0.485645467863726,1,0.0701206065635129,0.229141009791516,0.776911973408717,0.283424551485899,1,0.153345281284379
"regulation of transcription involved in G1/S phase of mitotic cell cycle [GO:0000083]",0.739158310829177,1,1,0.551462785476083,1,1,1,1,1,1,1,1,1,1,0.106150757425968,1,1,1,1,1
"S phase of mitotic cell cycle [GO:0000084]",0.489646788474011,1,0.101769211318804,0.643987624115978,0.967796478522692,0.202929292898449,1,1,1,1,0.579455785311098,1,0.0921708823774532,1,0.433437917594795,1,0.629207836964226,0.197805392363047,1,1
"G2 phase of mitotic cell cycle [GO:0000085]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"G2/M transition of mitotic cell cycle [GO:0000086]",0.887876293112955,1,1,0.0762427850166146,0.640166240563291,0.453883833113034,1,1,1,0.0122573702632785,1,1,1,1,0.0549348035108146,1,1,1,1,0.102375369880427
"M phase of mitotic cell cycle [GO:0000087]",0.886523188552505,0.195937486221558,1,0.149493018603496,0.251910057596604,1,0.13260720291734,1,1,0.417118310805181,0.38345117898181,1,0.815484351656961,1,0.66745542506454,1,0.785167357957314,0.0448307842841573,1,1
"mitotic prophase [GO:0000088]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic metaphase [GO:0000089]",1,1,1,0.181594933436733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic anaphase [GO:0000090]",0.899977707172039,1,1,0.451890216917685,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0123582528642077,1,1
"mitotic anaphase A [GO:0000091]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic anaphase B [GO:0000092]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic telophase [GO:0000093]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"septin assembly and septum formation [GO:0000094]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sulfur amino acid metabolic process [GO:0000096]",0.617818715052419,0.273645441953533,1,0.620092917502515,1,0.0873365660682684,0.337581797740764,0.0282120860923173,1,1,1,1,1,1,1,1,1,1,1,1
"sulfur amino acid biosynthetic process [GO:0000097]",0.720722857389101,0.106635187976112,1,1,1,0.163668261227004,1,0.0100424054659731,1,1,1,1,1,1,1,1,1,1,1,1
"sulfur amino acid catabolic process [GO:0000098]",0.92073749583056,0.106635187976112,1,0.699653253990898,1,0.163668261227004,1,0.0100424054659731,1,1,1,1,1,1,1,1,1,1,1,1
"sulfur amino acid transport [GO:0000101]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sulfate assimilation [GO:0000103]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histidine biosynthetic process [GO:0000105]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in G1 phase of mitotic cell cycle [GO:0000114]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in S phase of mitotic cell cycle [GO:0000115]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in G2-phase of mitotic cell cycle [GO:0000116]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in G2/M-phase of mitotic cell cycle [GO:0000117]",1,1,1,1,1,0.0293395372883547,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of transcription from RNA polymerase II promoter [GO:0000122]",0.13198020016123,0.916444231917452,0.528558293063701,0.836485897894201,0.58052971951591,0.539348919105715,0.825733249373792,1,0.683072779222452,0.667021169658529,0.629328618841624,0.347917638287509,0.275255520613334,1,0.707765907517032,1,0.701589901277421,0.421639883718648,1,1
"flocculation [GO:0000128]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"establishment of mitotic spindle orientation [GO:0000132]",0.367885008074404,1,1,1,1,1,1,1,1,1,1,1,1,1,0.106150757425968,1,1,1,1,1
"septin checkpoint [GO:0000135]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"actin cortical patch assembly [GO:0000147]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"rRNA modification [GO:0000154]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"phosphorelay signal transduction system [GO:0000160]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPK cascade involved in osmosensory signaling pathway [GO:0000161]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tryptophan biosynthetic process [GO:0000162]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPK cascade [GO:0000165]",0.403087539509614,0.697167048655249,0.0559701241123973,0.815980612317778,0.562751105293894,0.328150217730395,0.195823155675733,1,0.307739819299033,0.658731943143357,0.620924938581624,1,1,1,0.876862132848635,1,0.427921052225658,0.416743411401063,1,1
"activation of MAPKKK activity involved in osmosensory signaling pathway [GO:0000167]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK activity involved in osmosensory signaling pathway [GO:0000168]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK activity involved in osmosensory signaling pathway [GO:0000169]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK activity involved in osmosensory signaling pathway [GO:0000173]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK (mating sensu Saccharomyces) [GO:0000174]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"chromatin silencing at rDNA [GO:0000183]",0.55352165945179,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0807140901505901,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]",0.989683012008345,0.555174490988551,0.0126322316786099,0.912109666435121,0.509826099839139,0.131136220393757,1,1,1,0.529200203076812,0.152779240429068,1,0.216847888303584,1,0.0302740526050167,0.130248242087525,0.55264138320316,1,1,1
"activation of MAPKKK activity [GO:0000185]",0.153712731088462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK activity [GO:0000186]",0.931683518640762,1,0.320279747677642,0.418347163893016,0.311910192914062,1,0.0677236052400781,1,1,1,1,1,1,1,0.396763385814075,1,0.285500451579681,1,1,1
"activation of MAPK activity [GO:0000187]",0.576865906070017,0.409609821121701,0.11805842823909,0.905971724441532,1,0.566246856119364,0.143652751439796,1,1,0.387406806802794,0.366737380305316,1,1,1,0.180724484676365,1,1,1,1,1
"inactivation of MAPK activity [GO:0000188]",0.739158310829177,1,0.0821448604603765,0.551462785476083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPK import into nucleus [GO:0000189]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPKKK cascade (pseudohyphal growth) [GO:0000190]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK (pseudohyphal growth) [GO:0000191]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK (pseudohyphal growth) [GO:0000192]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK (pseudohyphal growth) [GO:0000193]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK (pseudohyphal growth) [GO:0000194]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nuclear translocation of MAPK (pseudohyphal growth) [GO:0000195]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPK cascade involved in cell wall biogenesis [GO:0000196]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK activity involved in cell wall biogenesis [GO:0000197]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK activity involved in cell wall biogenesis [GO:0000198]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK activity involved in cell wall biogenesis [GO:0000199]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK activity involved in cell wall biogenesis [GO:0000200]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPK import into nucleus involved in cell wall biogenesis [GO:0000201]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPKKK cascade during sporulation (sensu Saccharomyces) [GO:0000202]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK during sporulation (sensu Saccharomyces) [GO:0000203]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK during sporulation (sensu Saccharomyces) [GO:0000204]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK during sporulation (sensu Saccharomyces) [GO:0000205]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK during sporulation (sensu Saccharomyces) [GO:0000206]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nuclear translocation of MAPK during sporulation (sensu Saccharomyces) [GO:0000207]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPK import into nucleus involved in osmosensory signaling pathway [GO:0000208]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein polyubiquitination [GO:0000209]",0.514586501621426,0.752642209536429,0.467715384878378,0.259846196676069,0.850496925315374,0.370390283337213,0.834622497260098,1,1,1,0.702126540888846,0.213872923802534,0.782234768450908,1,0.148044991737916,1,1,0.265199026876198,1,1
"meiotic spindle organization [GO:0000212]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M/G1 transition of mitotic cell cycle [GO:0000216]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"microtubule cytoskeleton organization [GO:0000226]",0.941368003579842,0.13696286391728,1,0.490563810630694,0.43489826785332,0.143799698214387,0.228029774535651,1,0.452714750775566,1,0.306873246860863,1,0.758497241402078,0.156676643338107,0.85687827836369,0.20092815055481,0.72554754999995,0.249668775602193,1,0.133653901471647
"mitotic prometaphase [GO:0000236]",0.865188961248293,0.482640058406155,1,0.29567344354821,0.896284843607558,1,0.050323896317275,1,1,1,0.435236925861549,1,0.512822237494325,1,0.252257046838614,1,0.480244556626054,0.135305905652295,1,1
"leptotene [GO:0000237]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"zygotene [GO:0000238]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"pachytene [GO:0000239]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"diplotene [GO:0000240]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"diakinesis [GO:0000241]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"assembly of spliceosomal tri-snRNP [GO:0000244]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spliceosomal complex assembly [GO:0000245]",0.827909592231031,1,1,0.754237030752351,0.363883211334849,1,1,1,0.0590878711540339,1,1,1,0.133732876643719,1,1,1,1,1,1,1
"allantoin metabolic process [GO:0000255]",0.784492357931956,1,1,1,0.121207351986098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"allantoin catabolic process [GO:0000256]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial fission [GO:0000266]",0.95358417261966,1,1,0.0206607707154838,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"peptidoglycan metabolic process [GO:0000270]",1,1,1,0.181594933436733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"polysaccharide biosynthetic process [GO:0000271]",0.705444565407834,1,0.226849555114366,1,0.0350337481121725,0.300647730276425,1,1,1,1,1,1,1,1,1,1,1,0.0485517912868194,1,1
"polysaccharide catabolic process [GO:0000272]",0.196393471259744,1,0.157579705183432,1,1,1,0.176096119030201,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic cell cycle [GO:0000278]",0.972269847847424,0.831827227097715,0.757352692194747,0.259734650335315,0.24943707340157,0.716191188625445,0.689001868951006,1,0.881093880541101,0.124456315385614,0.194356754323729,1,0.364229970846319,0.452261158227721,0.0704978180447622,0.182133643834375,0.828280422727068,0.0763727934445435,1,0.0870787151234677
"M phase [GO:0000279]",0.83729989002418,0.195907603201714,1,0.224602793122232,0.146369712903661,0.880937998383128,0.171361329662219,1,0.659841043984184,0.63288411903939,0.594846749410415,1,0.717463044260971,1,0.859331511090858,0.330525137171698,0.668106460664067,0.0913188002722051,1,1
"nuclear division [GO:0000280]",0.862890732958463,0.181786935957495,1,0.257837664160281,0.223466438077336,1,0.120124474375015,1,1,0.39890100034523,0.366046864508646,1,0.803652509491073,1,0.647339141719576,1,0.772666918478238,0.0419092072750082,1,1
"cytokinesis after mitosis [GO:0000281]",0.899977707172039,1,1,0.451890216917685,1,1,1,1,1,1,0.0476956188084984,1,1,1,1,1,1,1,1,1
"cellular bud site selection [GO:0000282]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"shmoo orientation [GO:0000284]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]",0.0660561771632276,1,1,0.447519159370629,0.788336517307402,1,1,1,1,1,1,1,0.389062102149238,1,1,1,1,1,1,1
"nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]",0.0339754847762423,1,1,0.90988506588916,0.539644332725846,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, exonucleolytic [GO:0000291]",0.298459064524856,1,1,0.240131419788124,1,1,1,1,1,1,1,1,0.249679868702463,1,1,1,1,1,1,1
"RNA fragment catabolic process [GO:0000292]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay [GO:0000294]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spermine transport [GO:0000296]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"retrograde transport, vesicle recycling within Golgi [GO:0000301]",1,1,1,0.181594933436733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to reactive oxygen species [GO:0000302]",0.830692329885324,1,0.427621368053973,0.329417042610524,1,0.176450606961005,0.127302457137092,1,1,1,1,1,1,1,0.518318475327331,1,0.0826319217510204,1,1,1
"response to superoxide [GO:0000303]",0.95358417261966,1,1,0.15317251124249,1,0.112314394659303,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to singlet oxygen [GO:0000304]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to oxygen radical [GO:0000305]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sulfite transport [GO:0000316]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"re-entry into mitotic cell cycle [GO:0000320]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"re-entry into mitotic cell cycle after pheromone arrest [GO:0000321]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of transposition, DNA-mediated [GO:0000335]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of transposition, DNA-mediated [GO:0000336]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transposition, DNA-mediated [GO:0000337]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein deneddylation [GO:0000338]",0.854065949683407,1,1,0.225485914193992,1,1,1,1,1,1,0.0782318613090864,1,1,1,1,1,1,1,1,1
"mRNA branch site recognition [GO:0000348]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"generation of catalytic spliceosome for first transesterification step [GO:0000349]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"generation of catalytic spliceosome for second transesterification step [GO:0000350]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"trans assembly of SL-containing precatalytic spliceosome [GO:0000352]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"formation of quadruple SL/U4/U5/U6 snRNP [GO:0000353]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cis assembly of pre-catalytic spliceosome [GO:0000354]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mRNA trans splicing, via spliceosome [GO:0000365]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"intergenic mRNA trans splicing [GO:0000366]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Group I intron splicing [GO:0000372]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Group II intron splicing [GO:0000373]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Group III intron splicing [GO:0000374]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RNA splicing, via transesterification reactions [GO:0000375]",0.491651461471085,0.191189854955496,0.825273890522562,0.294399030867849,0.396136885867712,0.426090198677595,1,1,0.507456831205402,1,1,1,0.49220640057444,1,0.66085436039043,1,0.781078303277145,1,1,0.155114443554126
"RNA splicing, via transesterification reactions with guanosine as nucleophile [GO:0000376]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile [GO:0000377]",0.478366191222471,0.172515857354745,0.809470591722169,0.427076490172041,0.350601698640916,0.394427351683511,1,1,0.489837206854185,1,1,1,0.465654322013922,1,0.633403039945524,1,0.763934698403083,1,1,0.148016933558387
"RNA exon ligation [GO:0000378]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tRNA-type intron splice site recognition and cleavage [GO:0000379]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"alternative mRNA splicing, via spliceosome [GO:0000380]",0.940664090245407,1,1,0.063175677817533,1,1,1,1,0.0753289966817074,1,1,1,1,1,0.223200997439457,1,1,1,1,1
"regulation of alternative mRNA splicing, via spliceosome [GO:0000381]",0.990008974858355,1,1,0.0775062429316869,1,1,1,1,0.0508622562489344,1,1,1,1,1,0.154941397476852,1,1,1,1,1
"spliceosomal snRNP assembly [GO:0000387]",0.467385498081233,1,1,1,0.125994069943202,0.257670041721504,1,1,1,1,1,1,0.185457543525266,1,1,1,1,1,1,1
"spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) [GO:0000388]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mRNA 3'-splice site recognition [GO:0000389]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spliceosomal complex disassembly [GO:0000390]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spliceosomal conformational changes to generate catalytic conformation [GO:0000393]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RNA splicing, via endonucleolytic cleavage and ligation [GO:0000394]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0545570386005604,1,0.0366259699193188,1,1,1
"mRNA 5'-splice site recognition [GO:0000395]",1,1,1,1,0.0625565464650378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
