GeneID:TranscriptId,GSM818563,GSM818564,GSM818565,GSM818566,GSM818567,GSM818568,GSM818569,GSM818570,GSM818571,GSM818572,GSM818573,GSM818574,GSM818575,GSM818576,GSM818577,GSM818578,GSM818579,GSM818580,GSM818581,GSM818582
LOC100132287,9.25513e-05,9.2438e-05,8.00918e-05,8.01054e-05,0.000184093,0.0,4.84256e-05,4.71558e-05,4.24069e-05,0.415988,4.16219e-05,4.20092e-05,4.44345e-05,4.4637e-05,5.6389e-05,5.69533e-05,5.43942e-05,0.390541,6.04337e-05,0.863305
UFSP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056233,0.0,0.0,0.0,0.0038529,0.0,0.0,0.0,0.0
FAM212B,0.0,0.0,0.0,0.0,0.00175755,0.000862463,0.0,0.00191368,0.0,0.0,0.0,0.0,0.0,0.000129153,0.0,0.00019778,0.0,0.0,0.0,0.000624735
FAM212A,0.0254465,0.0,0.0,0.0,0.0234874,0.0,0.0,0.0343488,0.0328255,0.0181714,0.0,0.0,0.0998697,0.292063,0.0,0.0363231,0.0,0.0714431,0.0691651,0.021856
CHST9,0.0,0.0,0.0,0.0,0.0195874,0.00481171,0.0,0.0,0.0130423,0.0,0.00706688,0.0240145,0.0269288,0.0438121,0.0,0.0,0.0,0.0,0.0185329,0.0353552
CHST8,0.0187924,0.0486839,0.0,0.00489551,0.0671548,0.0534945,0.0275336,0.0917494,0.0230568,0.0574325,0.0163319,0.0595359,0.0152741,0.231545,0.0227291,0.0443384,0.0342189,0.0697992,0.0832784,0.056436
CHST1,0.0,0.0,0.0,0.0,0.0026494,0.0104087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST3,0.00316388,0.00851478,0.0513887,0.00328165,0.00878297,0.00431122,0.0181352,0.00596535,0.0133334,0.00642183,0.00223671,0.0124108,0.000660872,0.00334216,0.00756301,0.00215296,0.0,0.00297274,0.00321611,0.00549493
CHST2,0.0,0.0,0.0,0.0,0.00251699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST5,0.0,0.0,0.0,0.0,0.0,0.00319066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00362267,0.0,0.0,0.000482893,0.0,0.0,0.0
CHST4,0.0,0.0096129,0.0,0.00580288,0.00514183,0.020226,0.0,0.0279043,0.027448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00928235,0.0,0.0,0.0
CHST7,0.0405724,0.0,0.0,0.0,0.0656486,0.0184369,0.0288621,0.0716671,0.0374195,0.0483307,0.0202813,0.0574473,0.0270514,0.522474,0.00614277,0.0280174,0.109735,0.0271241,0.0975147,0.0599623
CHST6,0.0,0.0,0.0,0.0,0.00148308,0.00145599,0.0,0.0,0.0,0.0,0.00209208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAX,0.00963136,0.00415024,0.0,0.00250052,0.0447386,0.0175006,0.0,0.0030421,0.0262223,0.0228473,0.0126328,0.0653154,0.0121085,0.18916,0.000481152,0.0230184,0.0552968,0.033782,0.0498923,0.0317935
BCL2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAV,0.0,0.0,0.0,0.0,0.00151356,0.0,0.0,0.00411417,0.0,0.0,0.0021355,0.00550186,0.00205042,0.020351,0.0,0.00222665,0.00287761,0.00571128,0.0,0.0
PREP,0.0,0.0,0.0,0.0,0.00361068,0.00354763,0.0,0.0,0.00476694,0.0105546,0.0,0.0264391,0.00493611,0.0443267,0.0,0.0,0.012913,0.00690993,0.0339381,0.00648056
ITGAL,0.0675598,0.0659786,0.0,0.0911878,0.197938,0.120712,0.055859,0.170494,0.0680618,0.144669,0.165204,0.179566,0.209387,0.0650047,0.202386,0.175191,0.169788,0.16572,0.299211,0.156021
ITGAM,0.00649702,0.0124623,0.0,0.00775313,0.0186974,0.0131841,0.00465834,0.0476402,0.0518911,0.0288034,0.00800568,0.0308205,0.0218996,0.15948,0.00533385,0.0294513,0.0126243,0.0516926,0.0207217,0.00802485
ITGAD,0.213534,0.139322,0.0,0.137944,0.349686,0.327724,0.217194,0.663663,0.640819,0.502023,0.46498,0.470959,0.414313,0.36292,0.214893,0.173743,0.164008,0.319752,0.252173,0.166999
ITGAE,0.0351092,0.0504523,0.0,0.0395292,0.0487169,0.0850658,0.0585339,0.226211,0.152708,0.165562,0.219423,0.158039,0.254298,0.0271468,0.105444,0.160174,0.120322,0.164715,0.143479,0.149995
IGF2R,0.00241039,0.00207515,0.0,0.0,0.014499,0.0175164,0.00691349,0.0211593,0.0260618,0.0192343,0.00549291,0.0256346,0.0150831,0.0539353,0.0100689,0.0098259,0.0314268,0.0188837,0.0165575,0.00594047
SLC36A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC36A3,0.0538724,0.0265636,0.0,0.0280325,0.0142355,0.0279735,0.0475682,0.0882987,0.0751502,0.0435657,0.0509132,0.03474,0.0486419,0.035744,0.0291386,0.0774955,0.039972,0.0408502,0.021008,0.0510891
CKS1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC36A1,0.0269139,0.043058,0.0,0.0139649,0.163645,0.150195,0.0330345,0.220358,0.143806,0.269613,0.0502831,0.0970555,0.132684,0.289006,0.0506147,0.0419212,0.0220166,0.0504222,0.039746,0.0253373
ARTN,0.0,0.0232159,0.0771386,0.0,0.0434104,0.00609869,0.019028,0.0435479,0.0625077,0.0184529,0.0271034,0.0229153,0.034299,0.162347,0.00817746,0.0279942,0.045076,0.0362533,0.0827246,0.0
ART1,0.0,0.0,0.0,0.0,0.00888359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART5,0.0,0.0058963,0.0386222,0.0,0.0,0.0216321,0.0,0.0297468,0.0280376,0.0195796,0.0140282,0.0,0.00704212,0.00201469,0.0,0.00767515,0.00174102,0.0250274,0.00425469,0.00173488
ART4,0.0,0.0,0.0347279,0.0,0.0253135,0.016612,0.0,0.0,0.0,0.0255041,0.0374597,0.0314313,0.0235666,0.0569326,0.0,0.0256731,0.0,0.0334116,0.0325439,0.0773571
MGC57346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRTAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CADPS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLF,0.0,0.0,0.0,0.0,0.0,0.00321756,0.0,0.0,0.0,0.00236323,0.0,0.0,0.0,0.00234405,0.0,0.0,0.0,0.0,0.00365883,0.0
CRTAP,0.0332175,0.0772437,0.0,0.0620242,0.0645473,0.0573341,0.112635,0.17545,0.168063,0.137547,0.113392,0.09719,0.10619,0.124731,0.10127,0.0293948,0.0627976,0.12236,0.0381085,0.0492039
RNU6-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADPGK,0.0,0.0,0.0397844,0.0,0.00954955,0.00234653,0.00489716,0.00663794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000636447,0.0171996,0.00307016,0.0,0.00263149
HPYR1,0.0,0.0,0.0,0.0,0.0126093,0.0372973,0.0127362,0.0185601,0.0886656,0.0981672,0.0384507,0.0,0.0,0.0856425,0.0,0.0391704,0.0238703,0.0514661,0.0,0.0
CPEB4,0.67667,0.794762,0.0,0.441856,0.321426,0.450344,0.625015,0.341887,0.306507,0.369479,0.245485,0.391774,0.315606,0.380008,0.289145,0.125464,0.247264,0.128731,0.180544,0.195531
CPEB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015765,0.00140158,0.00280649,0.0,0.0,0.00208556,0.0,0.000894123,0.00101898,0.0029266,0.0,0.00107382,0.000768477
CPEB3,0.0115827,0.0032537,0.0225492,0.00600999,0.0332014,0.0140313,0.00368548,0.0371881,0.0228919,0.0362748,0.0104438,0.0492568,0.0193798,0.0588069,0.00827544,0.0521865,0.0717749,0.0405127,0.0661611,0.029536
CPEB2,0.0,0.0,0.0,0.0,0.00150689,0.0,0.0,0.0020476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRBD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00388888,0.0,0.0,0.00807361,0.00345121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAT,0.0,0.0120028,0.0,0.00482048,0.03222,0.0105458,0.00664292,0.0351802,0.0673906,0.0683878,0.00912974,0.0547666,0.0323881,0.224702,0.025044,0.0193046,0.026646,0.0284858,0.0440807,0.0466073
POU5F1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC284865,0.137318,0.23728,0.0,0.192786,0.151374,0.188106,0.255373,0.142671,0.117055,0.215982,0.148036,0.227482,0.24166,0.0933266,0.307305,0.262828,0.176013,0.103707,0.204619,0.0969466
PHOX2A,0.0,0.0494223,0.0546388,0.00746582,0.13195,0.0876121,0.0674258,0.148674,0.106691,0.118117,0.0385522,0.130206,0.0639684,0.0369886,0.0174316,0.0596798,0.0480739,0.0902462,0.151186,0.0859874
PHOX2B,0.0,0.0,0.0,0.0,0.00349987,0.00687722,0.00359875,0.0,0.0,0.0,0.0,0.00426961,0.0,0.00429589,0.0,0.0,0.0,0.0,0.0,0.0
NLRP14,0.0,0.0,0.0,0.0,0.00273485,0.00268618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00977967
UPK2,0.0,0.0,0.0,0.0,0.0134285,0.039733,0.0,0.0,0.056994,0.0,0.0,0.0,0.0,0.0,0.0,0.0209439,0.0255576,0.0,0.0,0.0
CFH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00703012,0.0,0.0074495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKFY1,0.0504873,0.0966082,0.0,0.0683509,0.0482866,0.0687959,0.151455,0.0969714,0.0775888,0.0678326,0.0548526,0.128798,0.063991,0.314679,0.0485773,0.0362373,0.100676,0.0488897,0.0699069,0.0714849
CFB,0.0,0.0,0.0,0.00761777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00400935,0.0,0.0,0.0,0.0
TPT1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136097
CFP,0.147969,0.12369,0.0,0.12416,0.0884052,0.112492,0.506692,0.169917,0.146625,0.25761,0.20214,0.193707,0.116165,0.0661345,0.145126,0.0854991,0.0904544,0.166403,0.0722115,0.137484
REREP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIDT1,0.0,0.0,0.0,0.0,0.00825622,0.0040536,0.00212841,0.0,0.0,0.0,0.00146152,0.00751575,0.0,0.0183842,0.0,0.00304447,0.00406229,0.0,0.0038491,0.0
SIDT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00388886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PISRT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC283070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000689564,0.0,0.000438474,0.000919997,0.000438106,0.00204626,0.00624532,0.0,0.000513481,0.0,0.0,0.011843,0.0
SAGE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAGAB,0.884084,1.32046,3.8388,0.511158,0.305771,0.314757,0.346248,0.677693,0.595752,0.794949,0.594216,0.651889,0.736836,0.326084,1.03394,0.5356,0.294569,0.362272,0.21939,0.351214
C4orf19,0.0,0.0,0.0,0.0,0.0028839,0.0,0.00296899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4orf17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECEL1,0.0,0.0,0.0,0.0,0.0,0.00365966,0.0,0.0,0.0,0.00544795,0.0,0.00454731,0.0203772,0.00415751,0.0,0.0,0.0199943,0.0,0.0350291,0.0
EFHA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152931,0.0,0.0,0.0140396,0.0,0.00213089,0.0,0.0,0.0,0.0,0.0,0.0
EFHA2,0.0,0.0146312,0.0,0.00881754,0.0366319,0.0154193,0.00539038,0.0143316,0.0171563,0.0113958,0.00371935,0.0477309,0.0320546,0.0553978,0.0135867,0.0464355,0.0279023,0.0298394,0.0440408,0.0374075
NBEAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INGX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276561,0.0,0.0,0.0,0.0,0.0143277,0.177763,0.0,0.0146984,0.0178358,0.0,0.0,0.00357696
ETV3L,0.0361409,0.0312453,0.115681,0.0,0.128068,0.114977,0.0228086,0.108988,0.163911,0.0618626,0.0646115,0.25319,0.130521,0.627807,0.0366127,0.121116,0.110861,0.216047,0.11633,0.161284
TEN1-CDK3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3717e-135,0.0,0.0,0.0,0.0,0.0,0.0
MSL3P1,0.0,0.0,0.0,0.00623594,0.0828251,0.0868684,0.00565506,0.0308693,0.0295437,0.0408843,0.0240193,0.074632,0.0532842,0.253419,0.0217797,0.132499,0.0899214,0.064252,0.0838768,0.109935
LOC286297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000677715,0.0,0.00424925,0.0,0.0,0.0,0.0,0.0,0.000867059,0.00607462
C15orf26,0.0,0.0269509,0.029716,0.0,0.0719037,0.00707461,0.0,0.213579,0.282169,0.150809,0.0843816,0.0888812,0.1398,0.121051,0.247627,0.206567,0.0262948,0.0705499,0.110194,0.0393328
C15orf27,0.0,0.0,0.0187727,0.0,0.0090039,0.00442486,0.00923996,0.00624676,0.0,0.0397211,0.0129643,0.016535,0.0123571,0.0,0.0,0.0134372,0.00809467,0.0606833,0.0,0.0
ZNF117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF114,0.0,0.0184441,0.0,0.0,0.00986809,0.00485037,0.0,0.0160237,0.0131465,0.0436628,0.0,0.0,0.0135688,0.0239116,0.0064705,0.00737884,0.0088954,0.0,0.0,0.0
SEZ6L,1.37616,1.24138,0.0,1.23361,1.75532,1.65196,2.06519,1.0036,0.842605,1.03749,0.986225,1.02244,1.2222,1.29723,1.26983,1.49648,1.74782,1.62617,1.13251,1.69928
PRKAR2A,0.166904,0.237432,0.0,0.255842,0.476597,0.562132,0.218911,0.220495,0.205042,0.193615,0.104595,0.188965,0.168222,0.238438,0.124785,0.115177,0.212243,0.244795,0.154338,0.1227
PRKAR2B,0.0,0.0,0.0,0.0032171,0.00286268,0.00562375,0.00294726,0.0,0.00376026,0.00832565,0.0,0.0104532,0.0078016,0.0829699,0.00186008,0.0084772,0.0356684,0.0,0.00536055,0.0153638
S1PR5,0.000586324,0.0172758,0.0,0.00521211,0.0566386,0.0409013,0.018974,0.0706312,0.0837577,0.0680467,0.00740206,0.0283144,0.0300855,0.109161,0.0181643,0.0759454,0.0472891,0.0178202,0.0689005,0.0345317
TMEM200B,0.00940029,0.0162351,0.0181325,0.0391813,0.00434615,0.0299004,0.0446147,0.0843353,0.0576679,0.0574584,0.0634952,0.111678,0.0557607,0.131313,0.0284241,0.086416,0.0312281,0.0417999,0.0501215,0.0078258
ITGA2B,0.0,0.0,0.0,0.0,0.00316091,0.0,0.0,0.00434478,0.0,0.0,0.0,0.0202202,0.00107819,0.0105757,0.00411308,0.0,0.00563663,0.0,0.0,0.0
PHACTR4,0.0357342,0.0338592,0.0974539,0.0352294,0.0230894,0.0243508,0.0340413,0.130106,0.0689477,0.104955,0.0745304,0.10042,0.0493138,0.268148,0.0940663,0.0803378,0.0876576,0.0780611,0.049232,0.0653769
NLGN2,0.0578792,0.145488,0.0,0.112701,0.551095,0.403149,0.156397,1.11519,0.71497,1.09519,0.759178,0.506707,0.67309,0.217307,0.292041,0.513797,0.60528,0.977543,0.420596,0.4697
OR2K2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148714,0.0,0.0,0.0,0.0,0.0,0.0
PHACTR3,0.0,0.0180531,0.0,0.0,0.0151321,0.0153984,0.0103418,0.0351288,0.0414593,0.0344236,0.0168529,0.0191431,0.0536228,0.0169262,0.0255703,0.0408059,0.0350891,0.037562,0.0295024,0.00910909
NUP107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00377935,0.0,0.0,0.0,0.0,0.0,0.0
KRTAP2-3,0.0,0.0,0.00408257,0.0,0.0,0.0,0.0,0.0,0.00755246,0.0,0.0,0.0,0.00126527,0.0,0.0,0.0,0.0108171,0.0,0.0,0.0
KRTAP2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRTAP2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.00116582,0.0,0.0,0.0,0.0,0.0,0.00132234,0.0,0.0523348,0.0,0.008324,0.0,0.0,0.0
KRTAP2-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00467182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00216488,0.0
MIR4708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9054,0.0,43.5704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.315,0.0,164.232,237.2
SBF1P1,0.0,0.0,0.0,0.0,0.00167316,0.0,0.0,0.0,0.00109011,0.0,0.0,0.00202801,0.0011341,0.000574932,0.0,0.0,0.0,0.0,0.00311386,0.0
VMP1,0.0,0.0,0.0,0.0,0.00501383,0.0,0.0,0.0,0.0,0.00739888,0.0,0.0,0.0,0.0,0.00657744,0.0,0.0,0.0,0.0,0.0
EPN2-AS1,0.0,0.0,0.0,0.0,0.0,0.00982304,0.0,0.0,0.0,0.0,0.0,0.0249046,0.014023,0.0,0.0,0.0152877,0.0185606,0.0,0.0,0.0
NR1D1,0.0,0.00717876,0.0,0.0,0.00384581,0.003779,0.00395176,0.0265584,0.010171,0.01126,0.0,0.0187896,0.0,0.0214685,0.0,0.00572124,0.0,0.0073719,0.0,0.0
NR1D2,4.71058,7.73587,0.0,10.3051,7.81728,10.8008,9.29763,4.21781,4.09615,3.63112,5.56875,7.36872,5.94767,7.0985,8.28747,7.21983,6.10889,5.71958,6.43571,8.60446
UFSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00385188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294492,0.0,0.0231246
OGFR,0.0,0.0,0.0,0.0,0.00445945,0.00438303,0.0,0.00618594,0.0118434,0.0,0.0,0.00545882,0.00764888,0.011417,0.0,0.0,0.0,0.0429234,0.0,0.00401691
PTCH2,0.0,0.0,0.0,0.0,0.00519129,0.0027236,0.0,0.0114038,0.0,0.000671429,0.0,0.0,0.0,0.0107753,0.0,0.0,0.0,0.0,0.0,0.00165268
PTCH1,0.0,0.0,0.0,0.0,0.000147178,0.0,0.0,0.0,0.0,0.0,0.0,0.000292036,0.0,8.63224e-05,0.0,0.000176828,0.0,0.0,0.00370722,0.00224374
AOAH-IT1,0.455215,0.100386,0.0,0.0307302,1.52003,0.571349,0.103158,0.470451,1.26351,1.08209,0.618162,2.88002,1.0303,15.9853,0.793813,1.35144,3.90931,1.30408,6.69109,2.03277
TIMM44,0.0,0.0102815,0.0,0.0,0.0,0.0,0.00563027,0.0768179,0.000816884,0.032557,0.00796961,0.0,0.0303099,0.01846,0.0,0.00824352,0.0198909,0.0213187,0.0,0.0099487
RAD9B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAD9A,0.0359575,0.0621744,0.244993,0.0437993,0.177275,0.15253,0.0332855,0.116593,0.207846,0.273569,0.0803429,0.245787,0.165741,0.555658,0.0801331,0.195953,0.252751,0.241208,0.25812,0.130369
ERGIC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351467,0.0,0.0,0.0,0.0,0.0,0.0
