"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"negative regulation of transcription by galactose [GO:0000410]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of transcription by galactose [GO:0000411]",1,1,1,1,1,1,1,1,1,1,1,1
"histone peptidyl-prolyl isomerization [GO:0000412]",1,1,1,1,1,1,1,1,1,1,1,1
"protein peptidyl-prolyl isomerization [GO:0000413]",0.407432757877658,1,0.480949121606206,1,1,1,1,1,1,1,1,1
"regulation of histone H3-K36 methylation [GO:0000414]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of histone H3-K36 methylation [GO:0000415]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of histone H3-K36 methylation [GO:0000416]",1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrion degradation [GO:0000422]",1,1,1,1,1,1,1,1,1,1,1,1
"macromitophagy [GO:0000423]",1,1,1,1,1,1,1,1,1,1,1,1
"micromitophagy [GO:0000424]",1,1,1,1,1,1,1,1,1,1,1,1
"macropexophagy [GO:0000425]",1,1,1,1,1,1,1,1,1,1,1,1
"micropexophagy [GO:0000426]",1,1,1,1,1,1,1,1,1,1,1,1
"carbon catabolite regulation of transcription from RNA polymerase II promoter [GO:0000429]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription from RNA polymerase II promoter by glucose [GO:0000430]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription from RNA polymerase II promoter by galactose [GO:0000431]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of transcription from RNA polymerase II promoter by glucose [GO:0000432]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of transcription from RNA polymerase II promoter by glucose [GO:0000433]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of transcription from RNA polymerase II promoter by galactose [GO:0000434]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]",1,1,1,1,1,1,1,1,1,1,1,1
"carbon catabolite activation of transcription from RNA polymerase II promoter [GO:0000436]",1,1,1,1,1,1,1,1,1,1,1,1
"carbon catabolite repression of transcription from RNA polymerase II promoter [GO:0000437]",1,1,1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]",1,1,1,1,1,1,1,1,1,1,1,1
"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000448]",1,1,1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S) [GO:0000449]",1,1,1,1,1,1,1,1,1,1,1,1
"cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA) [GO:0000450]",1,1,1,1,1,1,1,1,1,1,1,1
"rRNA 2'-O-methylation [GO:0000451]",1,1,1,1,1,1,1,1,1,1,1,1
"snoRNA guided rRNA 2'-O-methylation [GO:0000452]",1,1,1,1,1,1,1,1,1,1,1,1
"enzyme-directed rRNA 2'-O-methylation [GO:0000453]",1,1,1,1,1,1,1,1,1,1,1,1
"snoRNA guided rRNA pseudouridine synthesis [GO:0000454]",1,1,1,1,1,1,1,1,1,1,1,1
"enzyme-directed rRNA pseudouridine synthesis [GO:0000455]",1,1,1,1,1,1,1,1,1,1,1,1
"dimethylation involved in SSU-rRNA maturation [GO:0000456]",1,1,1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S) [GO:0000457]",1,1,1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S) [GO:0000458]",1,1,1,1,1,1,1,1,1,1,1,1
"exonucleolytic trimming involved in rRNA processing [GO:0000459]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of 5.8S rRNA [GO:0000460]",1,1,1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000461]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]",1,1,1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000464]",1,1,1,1,1,1,1,1,1,1,1,1
"exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000465]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]",1,1,1,1,1,1,1,1,1,1,1,1
"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000467]",1,1,1,1,1,1,1,1,1,1,1,1
"generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000468]",1,1,1,1,1,1,1,1,1,1,1,1
"cleavage involved in rRNA processing [GO:0000469]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of LSU-rRNA [GO:0000470]",1,1,1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000471]",1,1,1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA) [GO:0000473]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA) [GO:0000474]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of 2S rRNA [GO:0000475]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of 4.5S rRNA [GO:0000476]",1,1,1,1,1,1,1,1,1,1,1,1
"generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000477]",1,1,1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage involved in rRNA processing [GO:0000478]",1,1,1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000479]",1,1,1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of 5S rRNA [GO:0000481]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000482]",1,1,1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA) [GO:0000483]",1,1,1,1,1,1,1,1,1,1,1,1
"cleavage between SSU-rRNA and 5.8S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA) [GO:0000484]",1,1,1,1,1,1,1,1,1,1,1,1
"cleavage between 2S rRNA and LSU-rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA) [GO:0000485]",1,1,1,1,1,1,1,1,1,1,1,1
"cleavage between 5.8S rRNA and 2S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA) [GO:0000486]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of 5.8S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA) [GO:0000487]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA) [GO:0000488]",1,1,1,1,1,1,1,1,1,1,1,1
"maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA) [GO:0000489]",1,1,1,1,1,1,1,1,1,1,1,1
"small nucleolar ribonucleoprotein complex assembly [GO:0000491]",1,1,1,1,1,1,1,1,1,1,1,1
"box C/D snoRNP assembly [GO:0000492]",1,1,1,1,1,1,1,1,1,1,1,1
"box H/ACA snoRNP assembly [GO:0000493]",1,1,1,1,1,1,1,1,1,1,1,1
"box C/D snoRNA 3'-end processing [GO:0000494]",1,1,1,1,1,1,1,1,1,1,1,1
"box H/ACA snoRNA 3'-end processing [GO:0000495]",1,1,1,1,1,1,1,1,1,1,1,1
"flocculation via cell wall protein-carbohydrate interaction [GO:0000501]",1,1,1,1,1,1,1,1,1,1,1,1
"embryonic axis specification [GO:0000578]",1,1,1,0.381845683237424,1,1,1,1,1,1,0.0366567799832688,1
