"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"S phase of mitotic cell cycle [GO:0000084]",0.475870486303936,0.667424080725832,0.13748305043468,0.884256253281853,0.761546063765273,1,0.591048764263627,0.104583615565155,0.329786993507466,1
"G2 phase of mitotic cell cycle [GO:0000085]",0.552151996898022,1,1,1,1,1,1,1,1,1
"G2/M transition of mitotic cell cycle [GO:0000086]",0.927242943954373,0.383493469764842,1,0.035209551975683,0.381412840306837,1,1,1,1,0.102375369880427
"M phase of mitotic cell cycle [GO:0000087]",0.934476708843355,0.271394902089764,1,0.158283931979283,0.387197433397064,1,0.156521285279343,0.832699706280005,0.125579966128277,1
"mitotic prophase [GO:0000088]",0.552151996898022,1,1,1,1,1,1,1,1,1
"mitotic metaphase [GO:0000089]",1,1,1,0.228253845159623,1,1,1,1,1,1
"mitotic anaphase [GO:0000090]",0.910219041445484,1,1,0.540406788508398,1,1,1,1,0.0223240320595425,1
"mitotic anaphase A [GO:0000091]",1,1,1,1,1,1,1,1,1,1
"mitotic anaphase B [GO:0000092]",1,1,1,1,1,1,1,1,1,1
"mitotic telophase [GO:0000093]",1,1,1,1,1,1,1,1,1,1
"septin assembly and septum formation [GO:0000094]",1,1,1,1,1,1,1,1,1,1
"sulfur amino acid metabolic process [GO:0000096]",0.669335592560667,0.523738906080303,1,0.343350080027025,0.495159928367613,1,1,1,1,1
"sulfur amino acid biosynthetic process [GO:0000097]",0.748364503244271,0.230194594745972,1,0.788846792313511,0.453989023681722,1,1,1,1,1
"sulfur amino acid catabolic process [GO:0000098]",0.93232278847736,0.230194594745972,1,0.413825104642368,0.453989023681722,1,1,1,1,1
"sulfur amino acid transport [GO:0000101]",0.552151996898022,1,1,1,1,1,1,1,1,1
"sulfate assimilation [GO:0000103]",1,1,1,1,1,1,1,1,1,1
"histidine biosynthetic process [GO:0000105]",1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in G1 phase of mitotic cell cycle [GO:0000114]",0.552151996898022,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in S phase of mitotic cell cycle [GO:0000115]",1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in G2-phase of mitotic cell cycle [GO:0000116]",1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in G2/M-phase of mitotic cell cycle [GO:0000117]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"negative regulation of transcription from RNA polymerase II promoter [GO:0000122]",0.101585214054848,0.816492909174386,0.621728229478866,0.91329045977756,0.611091627240437,0.699037955841633,0.646472477050811,0.309551846117904,0.629958962671957,1
"flocculation [GO:0000128]",1,1,1,1,1,1,1,1,1,1
"establishment of mitotic spindle orientation [GO:0000132]",0.394465472730098,0.160029600935699,1,1,1,1,1,1,1,1
"septin checkpoint [GO:0000135]",1,1,1,1,1,1,1,1,1,1
"actin cortical patch assembly [GO:0000147]",1,1,1,1,1,1,1,1,1,1
"rRNA modification [GO:0000154]",1,1,1,1,1,1,1,1,1,1
"phosphorelay signal transduction system [GO:0000160]",1,1,1,1,1,1,1,1,1,1
"MAPK cascade involved in osmosensory signaling pathway [GO:0000161]",1,1,1,1,1,1,1,1,1,1
"tryptophan biosynthetic process [GO:0000162]",1,1,1,1,1,1,1,1,1,1
"MAPK cascade [GO:0000165]",0.481814241483477,0.807038286197365,0.0938265787466654,0.65380304548391,0.353903839532966,0.326211561909108,0.638109593197143,1,0.624251346538225,1
"activation of MAPKKK activity involved in osmosensory signaling pathway [GO:0000167]",1,1,1,1,1,1,1,1,1,1
"activation of MAPKK activity involved in osmosensory signaling pathway [GO:0000168]",1,1,1,1,1,1,1,1,1,1
"activation of MAPK activity involved in osmosensory signaling pathway [GO:0000169]",1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK activity involved in osmosensory signaling pathway [GO:0000173]",1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK (mating sensu Saccharomyces) [GO:0000174]",1,1,1,1,1,1,1,1,1,1
"chromatin silencing at rDNA [GO:0000183]",0.577954310046501,0.122591698222137,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]",0.994337768209362,0.109452927453637,0.0199176769691219,0.890223717248353,0.112715138899764,1,0.160572689150134,0.235361034929262,0.277072436827606,1
"activation of MAPKKK activity [GO:0000185]",0.168282639202083,1,1,1,1,1,1,1,1,1
"activation of MAPKK activity [GO:0000186]",0.876182084423176,0.544097217089824,0.358068473169682,0.211139812745573,0.526356481750365,1,1,1,1,1
"activation of MAPK activity [GO:0000187]",0.644456073592281,0.336898534313451,0.147404792403562,0.642577568893616,0.764588320223226,1,0.376005491286687,1,1,1
"inactivation of MAPK activity [GO:0000188]",0.761443147362903,1,0.0937272452327707,0.645351398218014,1,1,1,1,1,1
"MAPK import into nucleus [GO:0000189]",1,1,1,1,1,1,1,1,1,1
"MAPKKK cascade (pseudohyphal growth) [GO:0000190]",1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK (pseudohyphal growth) [GO:0000191]",1,1,1,1,1,1,1,1,1,1
"activation of MAPKK (pseudohyphal growth) [GO:0000192]",1,1,1,1,1,1,1,1,1,1
"activation of MAPK (pseudohyphal growth) [GO:0000193]",1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK (pseudohyphal growth) [GO:0000194]",1,1,1,1,1,1,1,1,1,1
"nuclear translocation of MAPK (pseudohyphal growth) [GO:0000195]",1,1,1,1,1,1,1,1,1,1
"MAPK cascade involved in cell wall biogenesis [GO:0000196]",1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK activity involved in cell wall biogenesis [GO:0000197]",1,1,1,1,1,1,1,1,1,1
"activation of MAPKK activity involved in cell wall biogenesis [GO:0000198]",1,1,1,1,1,1,1,1,1,1
"activation of MAPK activity involved in cell wall biogenesis [GO:0000199]",1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK activity involved in cell wall biogenesis [GO:0000200]",1,1,1,1,1,1,1,1,1,1
"MAPK import into nucleus involved in cell wall biogenesis [GO:0000201]",1,1,1,1,1,1,1,1,1,1
"MAPKKK cascade during sporulation (sensu Saccharomyces) [GO:0000202]",1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK during sporulation (sensu Saccharomyces) [GO:0000203]",1,1,1,1,1,1,1,1,1,1
"activation of MAPKK during sporulation (sensu Saccharomyces) [GO:0000204]",1,1,1,1,1,1,1,1,1,1
"activation of MAPK during sporulation (sensu Saccharomyces) [GO:0000205]",1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK during sporulation (sensu Saccharomyces) [GO:0000206]",1,1,1,1,1,1,1,1,1,1
"nuclear translocation of MAPK during sporulation (sensu Saccharomyces) [GO:0000207]",1,1,1,1,1,1,1,1,1,1
"MAPK import into nucleus involved in osmosensory signaling pathway [GO:0000208]",1,1,1,1,1,1,1,1,1,1
"protein polyubiquitination [GO:0000209]",0.535177574435182,0.388589102481562,0.540647543360838,0.533437175759987,0.573531188561971,1,0.713544040951665,0.800647181013883,0.428494046219748,1
"meiotic spindle organization [GO:0000212]",1,1,1,1,1,1,1,1,1,1
"M/G1 transition of mitotic cell cycle [GO:0000216]",1,1,1,1,1,1,1,1,1,1
"microtubule cytoskeleton organization [GO:0000226]",0.967341715316464,0.170572293393039,0.818213372372108,0.5183492794028,0.212928327927481,0.4673544459861,0.320066805357787,0.777587014101258,0.0942360766355568,0.133653901471647
"mitotic prometaphase [GO:0000236]",0.903416075249906,0.186188628114196,1,0.155121845217411,0.970894480600769,1,0.115039637337566,0.532708127512888,0.231985431562887,1
"leptotene [GO:0000237]",1,1,1,1,1,1,1,1,1,1
"zygotene [GO:0000238]",1,1,1,1,1,1,1,1,1,1
"pachytene [GO:0000239]",1,1,1,1,1,1,1,1,1,1
"diplotene [GO:0000240]",1,1,1,1,1,1,1,1,1,1
"diakinesis [GO:0000241]",1,1,1,1,1,1,1,1,1,1
"assembly of spliceosomal tri-snRNP [GO:0000244]",1,1,1,1,1,1,1,1,1,1
"spliceosomal complex assembly [GO:0000245]",0.849968678376245,1,1,0.837080729032479,0.506393647201081,0.0616620170581333,1,0.140909957848536,1,1
"allantoin metabolic process [GO:0000255]",0.799464130979156,1,1,1,0.182619469506778,1,1,1,1,1
"allantoin catabolic process [GO:0000256]",1,1,1,1,1,1,1,1,1,1
"mitochondrial fission [GO:0000266]",0.959811006139677,1,1,0.0393837456377461,1,1,1,1,1,1
"peptidoglycan metabolic process [GO:0000270]",1,1,1,0.228253845159623,1,1,1,1,1,1
"polysaccharide biosynthetic process [GO:0000271]",0.744437510800297,1,0.25576586195767,1,0.022196973329042,1,1,1,0.0863984264814598,1
"polysaccharide catabolic process [GO:0000272]",0.223706390112387,1,0.178712031000753,0.874301354197892,1,1,1,1,1,1
"mitotic cell cycle [GO:0000278]",0.989447026996606,0.332054772061375,0.534848733382097,0.2899581300798,0.290940826645411,0.891955247893941,0.107497695735479,0.259740607653317,0.03379120473999,0.0870787151234677
"M phase [GO:0000279]",0.879329375554945,0.428366358791424,1,0.295065108296313,0.198256410758424,0.675946960754146,0.337248508721505,0.745857015533367,0.0643804353893157,1
"nuclear division [GO:0000280]",0.917663923137592,0.246918907627354,1,0.248848423979379,0.345006499689394,1,0.144674804733305,0.821329334997118,0.118135396867135,1
"cytokinesis after mitosis [GO:0000281]",0.910219041445484,1,1,0.540406788508398,1,1,0.0491962951843431,1,1,1
"cellular bud site selection [GO:0000282]",1,1,1,1,1,1,1,1,1,1
"shmoo orientation [GO:0000284]",1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]",0.0893204893795212,1,1,0.669759034253518,0.911383205070204,1,1,0.4062615116407,1,1
"nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]",0.0433642324440435,1,1,0.955475738503739,0.702019344046815,1,1,1,1,1
"deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]",1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, exonucleolytic [GO:0000291]",0.343184004806709,1,1,0.401332707356371,1,1,1,0.262066950598642,1,1
"RNA fragment catabolic process [GO:0000292]",1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay [GO:0000294]",1,1,1,1,1,1,1,1,1,1
"spermine transport [GO:0000296]",1,1,1,1,1,1,1,1,1,1
"retrograde transport, vesicle recycling within Golgi [GO:0000301]",1,1,1,0.228253845159623,1,1,1,1,1,1
"response to reactive oxygen species [GO:0000302]",0.634306426704952,1,0.473034471866608,0.38073997033535,0.4610460044445,1,1,0.431545117480076,1,1
"response to superoxide [GO:0000303]",0.959811006139677,1,1,0.22557295937955,0.331925722052428,1,1,1,1,1
"response to singlet oxygen [GO:0000304]",1,1,1,1,1,1,1,1,1,1
"response to oxygen radical [GO:0000305]",0.552151996898022,1,1,1,1,1,1,1,1,1
"sulfite transport [GO:0000316]",1,1,1,1,1,1,1,1,1,1
"re-entry into mitotic cell cycle [GO:0000320]",0.552151996898022,1,1,1,1,1,1,1,1,1
"re-entry into mitotic cell cycle after pheromone arrest [GO:0000321]",1,1,1,1,1,1,1,1,1,1
"negative regulation of transposition, DNA-mediated [GO:0000335]",1,1,1,1,1,1,1,1,1,1
"positive regulation of transposition, DNA-mediated [GO:0000336]",1,1,1,1,1,1,1,1,1,1
"regulation of transposition, DNA-mediated [GO:0000337]",1,1,1,1,1,1,1,1,1,1
"protein deneddylation [GO:0000338]",0.87100336006633,1,1,0.321384280283455,1,1,0.0806518341669673,1,1,1
"mRNA branch site recognition [GO:0000348]",1,1,1,1,1,1,1,1,1,1
"generation of catalytic spliceosome for first transesterification step [GO:0000349]",1,1,1,1,1,1,1,1,1,1
"generation of catalytic spliceosome for second transesterification step [GO:0000350]",1,1,1,1,1,1,1,1,1,1
"trans assembly of SL-containing precatalytic spliceosome [GO:0000352]",1,1,1,1,1,1,1,1,1,1
"formation of quadruple SL/U4/U5/U6 snRNP [GO:0000353]",1,1,1,1,1,1,1,1,1,1
"cis assembly of pre-catalytic spliceosome [GO:0000354]",1,1,1,1,1,1,1,1,1,1
"mRNA trans splicing, via spliceosome [GO:0000365]",1,1,1,1,1,1,1,1,1,1
"intergenic mRNA trans splicing [GO:0000366]",1,1,1,1,1,1,1,1,1,1
"Group I intron splicing [GO:0000372]",1,1,1,1,1,1,1,1,1,1
"Group II intron splicing [GO:0000373]",1,1,1,1,1,1,1,1,1,1
"Group III intron splicing [GO:0000374]",1,1,1,1,1,1,1,1,1,1
"RNA splicing, via transesterification reactions [GO:0000375]",0.609607554033138,0.263175103050919,0.865072084665228,0.595042153835927,0.373080170382314,0.522899300509412,1,0.522040094627901,1,0.155114443554126
"RNA splicing, via transesterification reactions with guanosine as nucleophile [GO:0000376]",1,1,1,1,1,1,1,1,1,1
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile [GO:0000377]",0.593837479892186,0.230939816583481,0.850968525666775,0.708563514801942,0.317276712758084,0.505050184669214,1,0.494970513309034,1,0.148016933558387
"RNA exon ligation [GO:0000378]",1,1,1,1,1,1,1,1,1,1
"tRNA-type intron splice site recognition and cleavage [GO:0000379]",1,1,1,1,1,1,1,1,1,1
"alternative mRNA splicing, via spliceosome [GO:0000380]",0.951672122321701,0.32463642616676,1,0.127402991710888,1,0.0785806370129256,1,1,1,1
"regulation of alternative mRNA splicing, via spliceosome [GO:0000381]",0.991950943494145,0.230194594745972,1,0.136502631565627,1,0.0530882461658305,1,1,1,1
"spliceosomal snRNP assembly [GO:0000387]",0.509996474565926,1,1,1,0.0631935520209584,1,1,0.195083066369545,1,1
"spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) [GO:0000388]",1,1,1,1,1,1,1,1,1,1
"mRNA 3'-splice site recognition [GO:0000389]",0.552151996898022,1,1,1,1,1,1,1,1,1
"spliceosomal complex disassembly [GO:0000390]",1,1,1,1,1,1,1,1,1,1
"spliceosomal conformational changes to generate catalytic conformation [GO:0000393]",1,1,1,1,1,1,1,1,1,1
"RNA splicing, via endonucleolytic cleavage and ligation [GO:0000394]",1,0.083490450472414,1,0.404430643175149,1,1,1,1,1,1
"mRNA 5'-splice site recognition [GO:0000395]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"mRNA splicing, via spliceosome [GO:0000398]",0.593837479892186,0.230939816583481,0.850968525666775,0.708563514801942,0.317276712758084,0.505050184669214,1,0.494970513309034,1,0.148016933558387
"regulation of transcription by galactose [GO:0000409]",0.552151996898022,1,1,1,1,1,1,1,1,1
"negative regulation of transcription by galactose [GO:0000410]",1,1,1,1,1,1,1,1,1,1
"positive regulation of transcription by galactose [GO:0000411]",0.552151996898022,1,1,1,1,1,1,1,1,1
"histone peptidyl-prolyl isomerization [GO:0000412]",1,1,1,1,1,1,1,1,1,1
"protein peptidyl-prolyl isomerization [GO:0000413]",0.991265301924962,0.32463642616676,1,0.127402991710888,0.596613296472363,0.0785806370129256,1,1,1,1
"regulation of histone H3-K36 methylation [GO:0000414]",0.552151996898022,1,1,1,1,1,1,1,1,1
"negative regulation of histone H3-K36 methylation [GO:0000415]",0.552151996898022,1,1,1,1,1,1,1,1,1
"positive regulation of histone H3-K36 methylation [GO:0000416]",1,1,1,1,1,1,1,1,1,1
"mitochondrion degradation [GO:0000422]",0.799464130979156,0.083490450472414,1,1,1,1,1,1,1,1
"macromitophagy [GO:0000423]",1,1,1,1,1,1,1,1,1,1
"micromitophagy [GO:0000424]",1,1,1,1,1,1,1,1,1,1
"macropexophagy [GO:0000425]",1,1,1,1,1,1,1,1,1,1
"micropexophagy [GO:0000426]",1,1,1,1,1,1,1,1,1,1
"carbon catabolite regulation of transcription from RNA polymerase II promoter [GO:0000429]",0.799464130979156,1,1,0.404430643175149,1,1,1,1,1,1
"regulation of transcription from RNA polymerase II promoter by glucose [GO:0000430]",1,1,1,0.228253845159623,1,1,1,1,1,1
"regulation of transcription from RNA polymerase II promoter by galactose [GO:0000431]",0.552151996898022,1,1,1,1,1,1,1,1,1
"positive regulation of transcription from RNA polymerase II promoter by glucose [GO:0000432]",1,1,1,0.228253845159623,1,1,1,1,1,1
"negative regulation of transcription from RNA polymerase II promoter by glucose [GO:0000433]",1,1,1,1,1,1,1,1,1,1
"negative regulation of transcription from RNA polymerase II promoter by galactose [GO:0000434]",1,1,1,1,1,1,1,1,1,1
"positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]",0.552151996898022,1,1,1,1,1,1,1,1,1
"carbon catabolite activation of transcription from RNA polymerase II promoter [GO:0000436]",0.799464130979156,1,1,0.404430643175149,1,1,1,1,1,1
"carbon catabolite repression of transcription from RNA polymerase II promoter [GO:0000437]",1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]",0.799464130979156,1,1,1,1,1,1,0.0424530710285754,1,1
"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000448]",1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S) [GO:0000449]",1,1,1,1,1,1,1,1,1,1
"cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA) [GO:0000450]",1,1,1,1,1,1,1,1,1,1
"rRNA 2'-O-methylation [GO:0000451]",1,1,1,1,1,1,1,1,1,1
"snoRNA guided rRNA 2'-O-methylation [GO:0000452]",1,1,1,1,1,1,1,1,1,1
"enzyme-directed rRNA 2'-O-methylation [GO:0000453]",1,1,1,1,1,1,1,1,1,1
"snoRNA guided rRNA pseudouridine synthesis [GO:0000454]",1,1,1,1,1,1,1,1,1,1
"enzyme-directed rRNA pseudouridine synthesis [GO:0000455]",1,1,1,1,1,1,1,1,1,1
"dimethylation involved in SSU-rRNA maturation [GO:0000456]",1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S) [GO:0000457]",1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S) [GO:0000458]",1,1,1,1,1,1,1,1,1,1
"exonucleolytic trimming involved in rRNA processing [GO:0000459]",1,1,1,1,1,1,1,1,1,1
"maturation of 5.8S rRNA [GO:0000460]",0.748364503244271,1,1,0.413825104642368,1,1,1,0.12205880821243,1,1
"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000461]",1,1,1,1,1,1,1,0.0214553444487527,1,1
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]",0.799464130979156,1,1,1,1,1,1,0.0424530710285754,1,1
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]",1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000464]",1,1,1,1,1,1,1,1,1,1
"exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000465]",1,1,1,1,1,1,1,1,1,1
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]",0.799464130979156,1,1,1,1,1,1,0.0424530710285754,1,1
"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000467]",1,1,1,1,1,1,1,1,1,1
"generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000468]",1,1,1,1,1,1,1,1,1,1
"cleavage involved in rRNA processing [GO:0000469]",0.799464130979156,1,1,1,1,1,1,0.0424530710285754,1,1
"maturation of LSU-rRNA [GO:0000470]",1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000471]",1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]",0.552151996898022,1,1,1,1,1,1,1,1,1
"maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA) [GO:0000473]",1,1,1,1,1,1,1,1,1,1
"maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA) [GO:0000474]",1,1,1,1,1,1,1,1,1,1
"maturation of 2S rRNA [GO:0000475]",1,1,1,1,1,1,1,1,1,1
"maturation of 4.5S rRNA [GO:0000476]",1,1,1,1,1,1,1,1,1,1
"generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000477]",1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage involved in rRNA processing [GO:0000478]",0.799464130979156,1,1,1,1,1,1,0.0424530710285754,1,1
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000479]",0.799464130979156,1,1,1,1,1,1,0.0424530710285754,1,1
"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]",0.552151996898022,1,1,1,1,1,1,1,1,1
"maturation of 5S rRNA [GO:0000481]",1,1,1,1,1,1,1,1,1,1
"maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000482]",1,1,1,1,1,1,1,1,1,1
"endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA) [GO:0000483]",1,1,1,1,1,1,1,1,1,1
"cleavage between SSU-rRNA and 5.8S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA) [GO:0000484]",1,1,1,1,1,1,1,1,1,1
"cleavage between 2S rRNA and LSU-rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA) [GO:0000485]",1,1,1,1,1,1,1,1,1,1
