ClusterNo,P-Value,term
18,0.000940445673028926,protein localization to organelle [GO:0033365]
18,0.00180814205334886,protein localization [GO:0008104]
18,0.00271423032183016,protein import into mitochondrial matrix [GO:0030150]
19,0.0047822153289393,photoreactive repair [GO:0000719]
19,0.0047822153289393,pyrimidine dimer repair [GO:0006290]
19,0.0047822153289393,hepatic stellate cell activation [GO:0035733]
20,9.12252996810456e-05,single-organism cellular process [GO:0044763]
20,0.000192948357825969,single-organism process [GO:0044699]
20,0.000534876386749629,cellular protein complex assembly [GO:0043623]
21,4.64973587965491e-05,negative regulation of viral transcription [GO:0032897]
21,0.000183395370959842,regulation of organelle organization [GO:0033043]
21,0.000230748623599409,regulation of stress fiber assembly [GO:0051492]
22,0.00219761968525151,regulation of smoothened signaling pathway [GO:0008589]
22,0.00554512778425303,smoothened signaling pathway [GO:0007224]
22,0.00594545689543746,embryonic body morphogenesis [GO:0010172]
23,0.00216901958981203,nucleus organization [GO:0006997]
23,0.00646245314721461,chitin metabolic process [GO:0006030]
23,0.00646245314721461,chitin catabolic process [GO:0006032]
24,0.00155038733790225,primary miRNA processing [GO:0031053]
24,0.00206678227592227,production of miRNAs involved in gene silencing by miRNA [GO:0035196]
24,0.00258297687968501,dsRNA fragmentation [GO:0031050]
25,0.00168023781827531,carbohydrate mediated signaling [GO:0009756]
25,0.00168023781827531,hexose mediated signaling [GO:0009757]
25,0.00168023781827531,sugar mediated signaling pathway [GO:0010182]
26,0.00387396331759216,response to lithium ion [GO:0010226]
26,0.00387396331759216,cellular response to lithium ion [GO:0071285]
26,0.00570935712821222,single-organism process [GO:0044699]
27,0.00129249062944348,positive regulation of B cell apoptotic process [GO:0002904]
27,0.00129249062944348,response to BMP stimulus [GO:0071772]
27,0.00129249062944348,cellular response to BMP stimulus [GO:0071773]
28,1.0,mitochondrion inheritance [GO:0000001]
28,1.0,mitochondrial genome maintenance [GO:0000002]
28,1.0,reproduction [GO:0000003]
29,0.000387747188832832,open tracheal system development [GO:0007424]
29,0.000387747188832832,ectodermal digestive tract development [GO:0007439]
29,0.000387747188832832,ectodermal digestive tract morphogenesis [GO:0048567]
