"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"G1 phase of mitotic cell cycle [GO:0000080]",0.690974551570323,1,0.32395834407901,0.832911113088312,1,0.385175687028816,0.745494212696374,1,1,1,1,1,0.150279134389573,0.321820381272039,1,0.0473548280784309,0.0485394971650256,1,1,1,1,1,1,1,1,1,0.045573135503809,1,1,1
"G1/S transition of mitotic cell cycle [GO:0000082]",0.63880850465516,1,0.371869595903026,0.933417174338297,0.510843243613849,0.803553991098913,0.769051567019177,1,1,1,0.71847992743968,0.448222156770485,0.080205004848309,0.368143047810623,1,0.326663455447961,1,0.0626177653529219,0.196319043073212,1,0.769712260986141,0.275907368705787,1,0.406280934175291,1,1,0.144482107050245,1,1,1
"regulation of transcription involved in G1/S phase of mitotic cell cycle [GO:0000083]",0.93163214690327,1,1,0.25755347072426,1,1,1,1,1,1,1,1,0.20709914248819,1,1,1,1,0.102818610944346,1,1,1,1,1,1,1,1,1,1,1,1
"S phase of mitotic cell cycle [GO:0000084]",0.433322127331438,1,0.210923322042054,0.902188152244199,0.960181728753635,0.287225989101767,0.509508560743565,1,1,1,1,0.325129685346445,0.581011754536867,0.576507525604946,1,0.181017133122724,1,0.416773409956865,1,1,0.621336807944198,0.192249882862882,0.271756484528491,0.291627577784892,1,1,1,1,1,1
"G2 phase of mitotic cell cycle [GO:0000085]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"G2/M transition of mitotic cell cycle [GO:0000086]",0.861594612143361,1,1,0.518242262535329,0.597502470112088,0.279764726830325,0.046996545083709,1,1,1,0.0473819552803462,1,0.799878198943931,1,1,1,1,0.0497013971760694,1,1,1,1,1,1,1,1,0.0962897791677517,0.0652496335299754,1,1
"M phase of mitotic cell cycle [GO:0000087]",0.891846463045517,0.195937486221558,1,0.709985667881822,0.206246218996587,1,0.0964021788123443,0.119757023135735,1,1,0.368229568985271,1,0.686686265653349,0.379659587536398,1,0.70265463730311,1,0.649429948862014,1,1,0.778056941954472,0.042313907716743,1,0.414010059195201,1,1,1,1,1,1
"mitotic prophase [GO:0000088]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic metaphase [GO:0000089]",1,1,1,1,1,1,0.107276722243764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic anaphase [GO:0000090]",0.866272894322178,1,1,1,1,1,0.288573010636485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0119736072402422,1,1,1,1,1,1,1,1
"mitotic anaphase A [GO:0000091]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic anaphase B [GO:0000092]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic telophase [GO:0000093]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"septin assembly and septum formation [GO:0000094]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sulfur amino acid metabolic process [GO:0000096]",0.461826616422356,0.273645441953533,1,0.347313976178211,1,0.044544997618697,0.855033430547895,0.327054799970434,0.0260688070917428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sulfur amino acid biosynthetic process [GO:0000097]",0.634619872327206,0.106635187976112,1,1,1,0.114374978006484,1,1,0.00927290869602826,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sulfur amino acid catabolic process [GO:0000098]",0.879623230753589,0.106635187976112,1,0.360306811883055,1,0.114374978006484,1,1,0.00927290869602826,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sulfur amino acid transport [GO:0000101]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sulfate assimilation [GO:0000103]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histidine biosynthetic process [GO:0000105]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in G1 phase of mitotic cell cycle [GO:0000114]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in S phase of mitotic cell cycle [GO:0000115]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in G2-phase of mitotic cell cycle [GO:0000116]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in G2/M-phase of mitotic cell cycle [GO:0000117]",1,1,1,1,1,0.0200336047563655,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of transcription from RNA polymerase II promoter [GO:0000122]",0.395655731880818,0.916444231917452,0.35528869954602,0.467040597305927,0.657817230004679,0.490557990424793,0.950629597110165,0.808879814030878,1,1,0.875394433983717,1,0.015350642234508,0.624943980132894,0.347917638287509,0.124563195185489,1,0.686167260024904,1,0.469174384197011,0.690407529538329,0.411637880387578,1,1,1,1,1,0.157065748389758,1,1
"flocculation [GO:0000128]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"establishment of mitotic spindle orientation [GO:0000132]",0.670195136578901,1,1,1,1,1,1,1,1,1,1,1,0.20709914248819,1,1,1,1,0.102818610944346,1,1,1,1,1,1,1,1,1,1,1,1
"septin checkpoint [GO:0000135]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"actin cortical patch assembly [GO:0000147]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"rRNA modification [GO:0000154]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"phosphorelay signal transduction system [GO:0000160]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPK cascade involved in osmosensory signaling pathway [GO:0000161]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tryptophan biosynthetic process [GO:0000162]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPK cascade [GO:0000165]",0.396447350175796,0.697167048655249,0.155476415174382,0.827632329300394,0.641794411310225,0.480327831298612,0.637647281206878,0.345352856960839,1,0.426508511975919,0.60312527181857,0.617832120436176,0.19063929956871,0.616532788393361,1,1,1,0.864708206829729,1,0.463972998978815,0.4145282746764,0.406813346741005,1,0.56974651293458,1,1,1,1,1,1
"activation of MAPKKK activity involved in osmosensory signaling pathway [GO:0000167]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK activity involved in osmosensory signaling pathway [GO:0000168]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK activity involved in osmosensory signaling pathway [GO:0000169]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK activity involved in osmosensory signaling pathway [GO:0000173]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK (mating sensu Saccharomyces) [GO:0000174]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"chromatin silencing at rDNA [GO:0000183]",0.482842962998157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0781452287821931,1,1,1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]",0.995863580733145,0.555174490988551,0.0317861035760372,0.604917929393388,0.467963366108656,0.0543442364748879,0.953546306083923,1,1,1,1,1,0.222115328121344,0.150843350239419,1,0.129918445419327,1,0.0272241931416012,0.110583275932686,1,0.544957227179927,1,1,0.243875501251484,1,1,1,1,1,1
"activation of MAPKKK activity [GO:0000185]",0.482842962998157,1,1,1,1,1,1,1,1,1,1,1,0.159729346122727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK activity [GO:0000186]",0.860775684727953,1,0.254358547253796,0.37393375437105,0.286323596350757,1,0.590075102184008,0.0632812021350105,1,1,1,1,1,1,1,1,1,0.386568072428794,1,1,0.280396902536501,1,1,1,1,1,1,1,1,1
"activation of MAPK activity [GO:0000187]",0.526473915896521,0.409609821121701,0.366737380305316,0.606888849436257,1,0.433136717296369,0.958550822668373,0.479443211801047,1,1,0.357336597903732,1,0.473663975994651,0.364399693640655,1,1,1,0.171626926015423,1,1,1,1,1,0.166277317838719,1,1,1,1,1,1
"inactivation of MAPK activity [GO:0000188]",0.670195136578901,1,1,0.25755347072426,1,1,1,1,1,1,1,1,0.20709914248819,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPK import into nucleus [GO:0000189]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPKKK cascade (pseudohyphal growth) [GO:0000190]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK (pseudohyphal growth) [GO:0000191]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK (pseudohyphal growth) [GO:0000192]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK (pseudohyphal growth) [GO:0000193]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK (pseudohyphal growth) [GO:0000194]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nuclear translocation of MAPK (pseudohyphal growth) [GO:0000195]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPK cascade involved in cell wall biogenesis [GO:0000196]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK activity involved in cell wall biogenesis [GO:0000197]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK activity involved in cell wall biogenesis [GO:0000198]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK activity involved in cell wall biogenesis [GO:0000199]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK activity involved in cell wall biogenesis [GO:0000200]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPK import into nucleus involved in cell wall biogenesis [GO:0000201]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPKKK cascade during sporulation (sensu Saccharomyces) [GO:0000202]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK during sporulation (sensu Saccharomyces) [GO:0000203]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK during sporulation (sensu Saccharomyces) [GO:0000204]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK during sporulation (sensu Saccharomyces) [GO:0000205]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK during sporulation (sensu Saccharomyces) [GO:0000206]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nuclear translocation of MAPK during sporulation (sensu Saccharomyces) [GO:0000207]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAPK import into nucleus involved in osmosensory signaling pathway [GO:0000208]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein polyubiquitination [GO:0000209]",0.467426523303153,0.752642209536429,0.33664975394387,0.908457151986794,0.819024571629218,0.438694419787481,0.0941857378566729,0.822827566854228,1,1,1,1,0.405384559436913,0.699202726593286,0.213872923802534,0.665111736559024,1,0.135857630925897,1,1,1,0.258074384317083,1,1,1,1,1,1,1,1
"meiotic spindle organization [GO:0000212]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M/G1 transition of mitotic cell cycle [GO:0000216]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"microtubule cytoskeleton organization [GO:0000226]",0.93395087257199,0.13696286391728,1,0.96333830914743,0.584809754031636,0.403956014887613,0.11609968299771,0.211632091858691,1,0.256388159701278,1,0.091495735233862,0.55036566112262,0.303567649558493,1,0.639299636770974,0.133653901471647,0.847348065312123,0.171689065678673,1,0.717930432743587,0.242889561973353,1,1,1,1,0.125842862559004,1,1,1
"mitotic prometaphase [GO:0000236]",0.88913610566568,0.482640058406155,1,0.464031514934872,0.880700270173127,1,0.526387899602209,0.0457590586273641,1,1,1,1,0.594781856383805,0.432628492555288,1,0.403152103138538,1,0.240444103915013,1,1,0.472993222480082,0.131360619079206,1,0.203415124535063,1,1,1,1,1,1
"leptotene [GO:0000237]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"zygotene [GO:0000238]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"pachytene [GO:0000239]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"diplotene [GO:0000240]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"diakinesis [GO:0000241]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"assembly of spliceosomal tri-snRNP [GO:0000244]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spliceosomal complex assembly [GO:0000245]",0.754348586353189,1,1,0.406229683362153,0.345856774010796,1,1,1,1,1,1,1,1,1,1,0.0979002671845666,1,1,1,0.0330116746726211,1,1,1,1,1,1,1,1,1,1
"allantoin metabolic process [GO:0000255]",0.738462917214171,1,1,1,0.114165383198077,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"allantoin catabolic process [GO:0000256]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial fission [GO:0000266]",0.93163214690327,1,1,0.25755347072426,1,1,0.0595255315163462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"peptidoglycan metabolic process [GO:0000270]",1,1,1,1,1,1,0.107276722243764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"polysaccharide biosynthetic process [GO:0000271]",0.581568599246712,1,0.177656440610577,1,0.154383228349319,0.215743030810903,0.74404910487628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0470678585464294,1,1,1,1,1,1,1,1
"polysaccharide catabolic process [GO:0000272]",0.611484712018865,1,0.122224134646116,1,1,1,1,0.169963953597928,1,1,1,1,0.0707819013134856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic cell cycle [GO:0000278]",0.983442773753816,0.831827227097715,0.752869723238779,0.831296460794822,0.343796996155673,0.717107752680095,0.162463775604258,0.655894253972102,1,0.648824034651513,0.175543109069979,0.534365844493484,0.199978957812184,0.189582317800278,1,0.276111263662218,0.397586298653847,0.0583772477335863,0.137932502634763,1,0.817255724538888,0.0707733999758224,0.767755299148784,0.4646779487762,1,1,0.0777410772867482,0.271401064814779,1,1
"M phase [GO:0000279]",0.743023831984112,0.195907603201714,1,0.884267688375515,0.186470243109907,0.918665877909246,0.0648380051777544,0.153307599795049,1,0.411361101914491,0.577030996577402,0.600201333929893,0.830748967798627,0.590445307726374,1,0.539729304462333,1,0.84627833249125,0.286070999831158,1,0.656675322812186,0.0864801406102861,1,0.55239165879848,1,1,1,1,1,1
"nuclear division [GO:0000280]",0.875673517540881,0.181786935957495,1,0.678388939549913,0.181480958948618,1,0.223057473671494,0.108278543970284,1,1,0.351231147603942,1,0.65800333784488,0.362354169397919,1,0.689091874695236,1,0.629168822779159,1,1,0.765423848714002,0.0395465569934919,1,0.402378994994004,1,1,1,1,1,1
"cytokinesis after mitosis [GO:0000281]",0.866272894322178,1,1,0.20015580757507,1,1,1,1,1,1,1,1,1,0.0473202031523124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular bud site selection [GO:0000282]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"shmoo orientation [GO:0000284]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]",0.0607072785691978,1,1,0.088743760266691,1,1,0.934635955835019,1,1,1,1,1,0.395359198097384,1,1,0.297871041231858,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]",0.0158199165019663,1,1,0.59093995278534,1,1,1,1,1,1,1,1,0.501694644283996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
